Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128626932,2.26574026,-6.61E-08,0.001442695,0.993045385,0.999972853
LOC119041959,708.757245,-8.07E-07,0.001442691,0.66117078,0.999972853
LOC119041957,591.4238517,1.01E-06,0.001442691,0.522416689,0.999972853
LOC119041976,1024.710507,1.31E-06,0.001442692,0.365733772,0.999972853
LOC119041968,339.5239464,-4.13E-06,0.001442687,0.140277789,0.999972853
LOC119041970,5.072159503,5.37E-07,0.001442694,0.482734381,0.999972853
SP140,74.65192724,1.30E-06,0.001442681,0.686530527,0.999972853
SP140L,262.8631068,-3.40E-06,0.001442669,0.455510956,0.999972853
SP110,667.8758596,-1.68E-06,0.001442668,0.705281868,0.999972853
SLC16A14,10.80002327,-1.97E-06,0.001442689,0.358886667,0.999972853
FBXO36,18.08688174,-5.97E-06,0.001442692,0.021587576,0.999972853
LOC128627282,2.865580606,7.49E-07,0.001442694,0.477312418,0.999972853
TRIP12,10811.3208,-4.20E-06,0.001442342,0.792351241,0.999972853
DNER,290.8509779,6.27E-07,0.001442658,0.930255959,0.999972853
PID1,38.15098996,1.04E-06,0.001442684,0.721791954,0.999972853
SPHKAP,8.807430299,9.51E-08,0.001442693,0.935178978,0.999972853
DAW1,8.926779882,1.24E-06,0.00144269,0.517102098,0.999972853
CCL20,0.737809741,-6.65E-08,0.001442695,0.993911296,0.999972853
LOC128627384,1.023863809,-8.02E-08,0.001442695,0.992769681,0.999972853
SLC19A3,82.24388067,-8.00E-06,0.001442678,0.074331319,0.999972853
AGFG1,2349.368074,1.76E-06,0.001442388,0.906749339,0.999972853
TM4SF20,5.30078817,4.34E-07,0.001442692,0.635353571,0.999972853
MFF,1273.04452,-4.90E-06,0.001442429,0.725304332,0.999972853
LOC119044744,25.76317766,-1.75E-06,0.001442684,0.542004336,0.999972853
COL4A3,291.5703328,2.76E-06,0.001442676,0.472245421,0.999972853
COL4A4,17.19054526,-2.58E-06,0.001442688,0.283514731,0.999972853
RHBDD1,388.1470493,-1.09E-05,0.001442607,0.217289178,0.999972853
LOC119044740,8.167652199,-3.33E-06,0.001442692,0.101446143,0.999972853
LOC119044738,23.86700499,2.95E-06,0.001442683,0.343165503,0.999972853
IRS1,9830.384219,8.01E-06,0.001442436,0.571078687,0.999972853
LOC119044736,1.015084173,-1.14E-07,0.001442695,0.77950233,0.999972853
NYAP2,9.023868286,2.49E-06,0.00144269,0.231798671,0.999972853
DOCK10,0.210232555,-4.32E-08,0.001442695,0.900229208,0.999972853
LOC128627588,33.65861728,-3.35E-06,0.001442681,0.317667204,0.999972853
CUL3,2582.824187,4.87E-06,0.001442264,0.789488735,0.999972853
SERPINE2,256.6960379,-9.04E-06,0.001442631,0.228239834,0.999972853
MRPL44,282.3260816,8.84E-06,0.001442569,0.386967408,0.999972853
WDFY1,2576.575341,1.27E-05,0.001442375,0.4384807,0.999972853
AP1S3,649.0633881,9.47E-08,0.001442492,0.994903595,0.999972853
SCG2,0.675524702,-1.45E-07,0.001442695,0.741647817,0.999972853
LOC119061933,1194.066646,3.44E-06,0.00144266,0.505335378,0.999972853
KCNE4,0.166168454,-1.11E-08,0.001442695,0.998414582,0.999972853
ACSL3,1303.19525,1.16E-05,0.001442438,0.421211302,0.999972853
LOC119050975,2.224123953,-1.17E-06,0.001442694,0.211468974,0.999972853
MOGAT1,44.11346685,-5.85E-06,0.001442679,0.141549249,0.999972853
FARSB,1740.508246,1.05E-06,0.001442489,0.932501772,0.999972853
SGPP2,3.005086227,1.69E-06,0.001442695,0.01601915,0.999972853
LOC128626908,0.53302847,-4.49E-08,0.001442695,0.995500245,0.999972853
EPHA4,7301.211746,1.95E-05,0.001442414,0.216828677,0.999972853
SLC4A3,139.5711888,-1.87E-06,0.00144264,0.766215639,0.999972853
STK11IP,193.5352837,5.33E-06,0.001442612,0.499379181,0.999972853
OBSL1,9.357379966,1.26E-06,0.001442693,0.32791281,0.999972853
TMEM198,9.864545611,3.74E-06,0.001442692,0.051432828,0.999972853
CHPF,1070.77011,8.61E-06,0.001442619,0.283170333,0.999972853
ASIC4,0.661089177,9.13E-08,0.001442695,0.908913303,0.999972853
GMPPA,350.2003243,7.43E-06,0.001442587,0.429446217,0.999972853
SPEGNB,1.530165587,-5.41E-07,0.001442695,0.400986958,0.999972853
SPEG,625.9998236,2.64E-06,0.001442672,0.5264473,0.999972853
DES,2.004766963,3.97E-07,0.001442694,0.579907651,0.999972853
DNPEP,226.2499374,-3.37E-06,0.001442633,0.619654503,0.999972853
PTPRN,402.6971806,-1.72E-06,0.001442635,0.772134435,0.999972853
DNAJB2,547.6343661,3.56E-06,0.001442534,0.743374829,0.999972853
LOC119056902,9.751976785,8.67E-07,0.001442689,0.59667537,0.999972853
LOC119056884,705.3392922,-3.18E-07,0.00144251,0.982520063,0.999972853
STK16,622.41302,-1.15E-05,0.001442424,0.42963655,0.999972853
GLB1L,351.2864426,2.35E-06,0.001442551,0.818923334,0.999972853
ANKZF1,732.2008955,1.11E-07,0.001442559,0.98857623,0.999972853
ATG9A,1414.838267,1.11E-05,0.001442398,0.475364017,0.999972853
ABCB6,710.9480691,1.31E-05,0.001442486,0.325508343,0.999972853
