Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128626932,2.26574026,0.043768682,0.185878144,0.006718826,NA
LOC119041959,708.757245,7.107696351,0.590881662,1.19E-34,3.95E-32
LOC119041957,591.4238517,7.878767998,0.62092854,2.97E-38,1.20E-35
LOC119041976,1024.710507,8.342401816,0.672016824,4.84E-37,1.72E-34
LOC119041968,339.5239464,3.930795715,0.34225684,7.17E-32,1.84E-29
LOC119041970,5.072159503,2.354309794,0.896024102,0.000475073,0.007871336
SP140,74.65192724,2.523725037,0.304694419,9.09E-18,1.12E-15
SP140L,262.8631068,2.440570943,0.223362325,3.90E-29,8.76E-27
SP110,667.8758596,2.324870746,0.230981098,3.92E-25,7.52E-23
SLC16A14,10.80002327,0.038476679,0.175842118,0.458031033,0.75030619
FBXO36,18.08688174,-0.102003516,0.190871441,0.2024028,0.515137671
LOC128627282,2.865580606,-0.013145053,0.175687802,0.694476188,NA
TRIP12,10811.3208,0.018196366,0.061064817,0.779834586,0.923889737
DNER,290.8509779,0.250646743,0.206524406,0.042310888,0.206822346
PID1,38.15098996,0.176012047,0.242567773,0.082442749,0.310719547
SPHKAP,8.807430299,0.042856877,0.180264568,0.322296001,0.643795351
DAW1,8.926779882,0.006280946,0.170495237,0.920324811,0.975706788
CCL20,0.737809741,0.013400475,0.178699384,0.385710122,NA
LOC128627384,1.023863809,0.009188393,0.177594611,0.674622129,NA
SLC19A3,82.24388067,0.130935055,0.167216556,0.192045031,0.501660937
AGFG1,2349.368074,0.062837712,0.065875427,0.31248335,0.633445846
TM4SF20,5.30078817,-0.063085426,0.189281534,0.142309043,0.428394535
MFF,1273.04452,0.035310087,0.068966923,0.578954772,0.826148285
LOC119044744,25.76317766,0.103152773,0.190940243,0.210542886,0.526790282
COL4A3,291.5703328,0.035029705,0.152521796,0.664043824,0.872069068
COL4A4,17.19054526,0.043369234,0.16803154,0.537226382,0.801174244
RHBDD1,388.1470493,0.40609339,0.111595636,3.90E-05,0.000969058
LOC119044740,8.167652199,-0.046629917,0.178679763,0.365201932,0.681940311
LOC119044738,23.86700499,0.329544652,0.362051847,0.025928509,0.151633992
IRS1,9830.384219,0.020597477,0.068872992,0.826373314,0.943137689
LOC119044736,1.015084173,0.00933954,0.178129448,0.483229173,NA
NYAP2,9.023868286,-0.014307193,0.170398191,0.783069083,0.925618483
DOCK10,0.210232555,-0.001291443,0.178295612,0.918852621,NA
LOC128627588,33.65861728,0.078861938,0.167059674,0.360939216,0.678772189
CUL3,2582.824187,-0.064832878,0.056882975,0.226006239,0.545717816
SERPINE2,256.6960379,-0.325014708,0.145924618,0.004143163,0.040643648
MRPL44,282.3260816,0.033862203,0.093771409,0.671751625,0.876088387
WDFY1,2576.575341,0.381319806,0.065297884,8.90E-10,6.22E-08
AP1S3,649.0633881,0.204126294,0.088265917,0.008620521,0.06944467
SCG2,0.675524702,-0.013976227,0.178652807,0.264695731,NA
LOC119061933,1194.066646,-0.058451837,0.139861299,0.519729125,0.792263608
KCNE4,0.166168454,-0.000314625,0.178294559,0.9832154,NA
ACSL3,1303.19525,0.326013232,0.074975306,3.00E-06,0.000104001
LOC119050975,2.224123953,0.012156118,0.176328736,0.688346468,NA
MOGAT1,44.11346685,-0.04658579,0.152946974,0.583469676,0.827976312
FARSB,1740.508246,-0.024271897,0.078780937,0.731108359,0.904635815
SGPP2,3.005086227,0.04203532,0.183761902,0.120373586,NA
LOC128626908,0.53302847,-0.007992528,0.178449396,0.45767773,NA
EPHA4,7301.211746,0.013592666,0.061528917,0.814635107,0.938888726
SLC4A3,139.5711888,0.30047853,0.166271331,0.012817028,0.092848711
STK11IP,193.5352837,0.094045416,0.108279227,0.275239015,0.599224616
OBSL1,9.357379966,0.001650756,0.172874198,0.988032895,0.996263051
