Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128626932,2.26574026,5.030875315,2.858687226,0.001433089,0.011110763
LOC119041959,708.757245,8.676844885,0.591673702,7.14E-50,2.30E-47
LOC119041957,591.4238517,9.588082247,0.656318302,6.69E-49,2.03E-46
LOC119041976,1024.710507,9.27652373,0.64940757,1.01E-47,2.89E-45
LOC119041968,339.5239464,4.620787988,0.337437137,1.13E-43,2.38E-41
LOC119041970,5.072159503,3.30459586,0.867394671,1.40E-05,0.00021245
SP140,74.65192724,3.290531434,0.315203773,8.71E-27,9.86E-25
SP140L,262.8631068,3.144422035,0.225869165,2.18E-45,4.88E-43
SP110,667.8758596,3.26371422,0.230755862,1.16E-46,2.86E-44
SLC16A14,10.80002327,0.009894476,0.274242783,0.940391278,0.972032178
FBXO36,18.08688174,-0.088690916,0.233479582,0.592970231,0.787556198
LOC128627282,2.865580606,-0.082401305,0.313166083,0.388369502,0.633757197
TRIP12,10811.3208,0.01473442,0.063600965,0.843645211,0.927321468
DNER,290.8509779,0.18580319,0.185745038,0.221639236,0.458100021
PID1,38.15098996,0.43321812,0.301848447,0.035133764,0.135573301
SPHKAP,8.807430299,0.05125878,0.293017429,0.670723895,0.835843563
DAW1,8.926779882,-0.133367959,0.302224895,0.352899372,0.600317391
CCL20,0.737809741,-0.045996265,0.318049687,0.298528308,NA
LOC128627384,1.023863809,-0.011646294,0.307405448,0.803930088,NA
SLC19A3,82.24388067,0.674118784,0.215544949,0.00028419,0.00288798
AGFG1,2349.368074,0.068768109,0.068443458,0.303569948,0.551845894
TM4SF20,5.30078817,-0.148918228,0.32777145,0.251398339,0.493764403
MFF,1273.04452,0.053468986,0.072401723,0.518919246,0.737537153
LOC119044744,25.76317766,0.107294279,0.242623085,0.509849708,0.732026488
COL4A3,291.5703328,-0.018682324,0.207372292,0.916993107,0.961439965
COL4A4,17.19054526,0.383692265,0.335607562,0.063994029,0.206694541
RHBDD1,388.1470493,0.742753997,0.107250726,6.20E-13,3.00E-11
LOC119044740,8.167652199,0.100837457,0.292891963,0.461469649,0.694124375
LOC119044738,23.86700499,0.090765348,0.235118474,0.573093126,0.774383987
IRS1,9830.384219,0.110072561,0.072874032,0.113869196,0.303047809
LOC119044736,1.015084173,-0.071104827,0.325295909,0.063740629,NA
NYAP2,9.023868286,-0.375842846,0.50364426,0.058316492,0.194211076
DOCK10,0.210232555,0.010686027,0.314507546,0.857096182,NA
LOC128627588,33.65861728,0.065153207,0.217476492,0.678211583,0.841260829
CUL3,2582.824187,-0.154537477,0.058903177,0.007798815,0.043176905
SERPINE2,256.6960379,-0.635130363,0.144552245,1.99E-06,3.71E-05
MRPL44,282.3260816,0.070601088,0.102957837,0.468524864,0.699955059
WDFY1,2576.575341,0.511559098,0.064828638,8.58E-16,5.41E-14
AP1S3,649.0633881,0.444430804,0.090876705,3.62E-07,8.09E-06
SCG2,0.675524702,-0.028208061,0.313319548,0.483088929,NA
LOC119061933,1194.066646,-0.004367528,0.170635609,0.918442723,0.962163952
KCNE4,0.166168454,-0.000947575,0.314842304,0.997101993,NA
ACSL3,1303.19525,0.425931371,0.075533184,6.46E-09,1.93E-07
LOC119050975,2.224123953,-0.061795785,0.309535194,0.479200224,0.708593799
MOGAT1,44.11346685,-0.216190525,0.219878781,0.194349025,0.423909616
FARSB,1740.508246,0.099401243,0.085151363,0.224926782,0.462205287
SGPP2,3.005086227,0.050626701,0.315007389,0.371948748,0.61870837
LOC128626908,0.53302847,-0.006058537,0.313504874,0.742868332,NA
EPHA4,7301.211746,-0.064717915,0.064242777,0.30154358,0.550352989
SLC4A3,139.5711888,0.182612888,0.154435157,0.127880348,0.3261852
STK11IP,193.5352837,0.022156308,0.11641593,0.830881863,0.920150995
OBSL1,9.357379966,-0.165436082,0.330478317,0.241900432,0.482832676
TMEM198,9.864545611,0.062880498,0.27255005,0.663582537,0.831716332
CHPF,1070.77011,0.169167295,0.121847108,0.13165287,0.332222473
ASIC4,0.661089177,0.044211764,0.317553603,0.373601866,NA
GMPPA,350.2003243,0.400164717,0.110529384,0.000117344,0.00136564
SPEGNB,1.530165587,-0.055709444,0.316483784,0.340994713,NA
SPEG,625.9998236,-0.67496934,0.260725135,0.001313642,0.010359593
DES,2.004766963,0.076075334,0.316678653,0.366763379,0.61450296
