Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
AMPD2,692.3433095,0.280519364,0.109196896,0.003556832,0.021507269
GNAT2,3.339530323,-0.048496472,0.216084003,0.342652944,NA
GNAI3,2575.762144,-0.140699605,0.057044782,0.010838774,0.050811889
AMIGO1,33.22741069,-0.008183911,0.177156616,0.934970076,0.967754564
LOC128625730,92.15231999,-0.331327678,0.193914372,0.017647341,0.073245731
ATXN7L2,183.612571,0.106117653,0.131331229,0.314064268,0.538461468
SYPL2,1.48128611,-0.029445504,0.216899543,0.284798577,NA
PSMA5,1283.138589,0.077464342,0.08048541,0.32101178,0.545160612
SORT1,4811.614367,-0.117015032,0.060911026,0.045161486,0.146171462
LOC128625996,0.887606824,0.022857387,0.215489508,0.326541127,NA
MYBPHL,1.606940221,-0.012719059,0.212620181,0.727077742,NA
PSRC1,185.4627224,-0.124792394,0.116398837,0.205029071,0.41354602
CELSR2,534.8827809,-0.565849277,0.111687362,5.44E-08,1.43E-06
SARS1,2050.640325,1.0154434,0.073892829,4.49E-44,1.52E-41
ELAPOR1,5.091066512,-0.050703432,0.213502423,0.404189675,NA
CFAP276,1.052691381,0.021060231,0.21479774,0.441449401,NA
LOC119054607,0.901709225,0.040799634,0.219430274,0.099918748,NA
TMEM167B,816.8130937,0.12580218,0.076571231,0.072562779,0.204886529
LOC119054531,8.90024965,-0.020912351,0.200556329,0.783189975,0.889517636
TAF13,1646.065154,-0.094922181,0.068418894,0.125078067,0.299496926
LOC119054604,9.155993546,0.004497977,0.197482058,0.961846739,0.981812051
WDR47,583.9547869,0.145399407,0.098795849,0.097925933,0.252773981
CLCC1,1970.207881,-0.183446397,0.069521638,0.004867442,0.027459936
GPSM2,469.3836609,-0.05534895,0.088268017,0.488009081,0.692124521
AKNAD1,6.686703331,-0.019249032,0.205270036,0.766568096,0.880213935
STXBP3,1444.908681,0.300642893,0.064428713,1.08E-06,2.16E-05
FNDC7,3.908787096,0.019907996,0.213195658,0.555954019,NA
PRPF38B,2246.504777,0.223292411,0.064937686,0.000374472,0.003411001
LOC119054606,53.83323165,-0.139517511,0.181457205,0.232308564,0.447385795
HENMT1,36.71802528,-0.467708459,0.274775451,0.009089318,0.044532653
EEIG2,909.2023551,-0.22111185,0.11901182,0.02859845,0.104843789
LOC119054493,2.929070426,0.013323169,0.210994133,0.76341056,NA
SLC25A24,4474.265645,-0.039427176,0.072920915,0.645547089,0.80669706
LOC128625977,0.8606112,-0.010444111,0.214350523,0.655863279,NA
VAV3,196.4597082,-0.07079286,0.190432951,0.478608949,0.685075264
NTNG1,2.020456719,0.008594584,0.210745974,0.85402067,NA
LOC119054583,5.135641337,0.016563031,0.207286707,0.774629645,NA
PRMT6,33.9619637,-0.203596221,0.228675112,0.110669097,0.274168416
LOC119054551,14.605624,0.16393746,0.255639082,0.129760667,0.307169817
LOC119054978,26.71851633,-0.037852451,0.185434559,0.706819201,0.846937016
RNPC3,911.0843872,-0.155225267,0.071668974,0.02108727,0.084136785
LOC119054962,179.6657034,-0.006207941,0.113519246,0.935261419,0.967844895
COL11A1,1.000431898,-0.048855192,0.221793246,0.057583179,NA
OLFM3,10.29447201,-0.040565445,0.20573346,0.602932784,0.77986615
LOC128625970,6.936479664,0.094051037,0.226193096,0.234096493,0.449254641
LOC128625969,0.178941568,-0.001500657,0.214965849,0.910019733,NA
S1PR1,231.097225,-0.044497201,0.198055771,0.59989567,0.777492766
LOC128625979,0.879832991,-0.001865471,0.213173661,0.918836189,NA
LOC119054960,96.77469681,-0.266462886,0.174287767,0.037702636,0.128333277
DPH5,205.573148,0.090386369,0.122224217,0.370558756,0.591663111
SLC30A7,1229.987355,0.314903973,0.073298843,5.67E-06,9.49E-05
EXTL2,192.3665793,-0.268002816,0.114421159,0.005987518,0.032159461
VCAM1,869.198107,5.340592185,0.327784844,1.21E-60,9.58E-58
GPR88,0.179820538,-0.00149988,0.214975518,0.770428217,NA
CDC14A,262.9493591,0.01845871,0.113456897,0.831712582,0.918829615
RTCA,802.0458644,0.192471426,0.073872366,0.005439406,0.029846458
DBT,289.9822781,0.265132985,0.100191124,0.003205732,0.019813705
LRRC39,64.31948412,0.092100799,0.155173196,0.398848596,0.616111663
TRMT13,188.7024177,0.321528296,0.150025017,0.008095401,0.040614023
SASS6,733.4941574,-0.133595291,0.076056653,0.068565746,0.196723821
MFSD14A,776.759093,0.130529003,0.078515493,0.065225211,0.18981884
SLC35A3,1446.65088,-0.14132614,0.067633548,0.024426397,0.093883162
LOC119054906,7.036256026,-0.017707381,0.202540457,0.786363016,0.89057703
AGL,758.02039,-0.340606344,0.115566044,0.000741605,0.005968072
FRRS1,215.6421688,-0.036732163,0.129502123,0.721799196,0.854656797
PALMD,5.144310153,0.068952593,0.222646035,0.229352082,NA
PLPPR4,2.827259502,0.066496246,0.22676452,0.071981472,NA
PLPPR5,0.421712023,0.011436986,0.215103942,0.66370116,NA
SNX7,141.2706258,0.060809388,0.137540347,0.567350893,0.752615042
