Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128626932,2.26574026,-4.91E-05,0.02700477,0.960977055,NA
LOC119041959,708.757245,-0.00209565,0.027100524,0.086908561,0.999797959
LOC119041957,591.4238517,-0.001148307,0.027020149,0.301870353,0.999797959
LOC119041976,1024.710507,-0.001430947,0.027042676,0.17209956,0.999797959
LOC119041968,339.5239464,-0.000765914,0.026947253,0.714982341,0.999797959
LOC119041970,5.072159503,-7.96E-05,0.027000806,0.917318343,NA
SP140,74.65192724,-0.000971988,0.026938552,0.664518659,0.999797959
SP140L,262.8631068,-0.004228598,0.027312925,0.189088062,0.999797959
SP110,667.8758596,-0.002735405,0.027033204,0.42325383,0.999797959
SLC16A14,10.80002327,-0.002115492,0.027086458,0.16095004,NA
FBXO36,18.08688174,-0.003965283,0.027377283,0.033152863,NA
LOC128627282,2.865580606,0.000121512,0.026996414,0.856312236,NA
TRIP12,10811.3208,-0.00662585,0.025897744,0.49897635,0.999797959
DNER,290.8509779,-0.002756497,0.026972162,0.713750495,0.999797959
PID1,38.15098996,0.00085588,0.026948419,0.592492274,0.999797959
SPHKAP,8.807430299,0.000328962,0.026991893,0.716557277,NA
DAW1,8.926779882,0.00117015,0.027009791,0.385238386,NA
CCL20,0.737809741,0.000257479,0.027005591,0.530026311,NA
LOC128627384,1.023863809,0.000184551,0.027004775,0.679120534,NA
SLC19A3,82.24388067,-0.005349888,0.027605494,0.076959775,0.999797959
AGFG1,2349.368074,-0.003860377,0.025517635,0.706603717,0.999797959
TM4SF20,5.30078817,0.000129742,0.026984448,0.906545828,NA
MFF,1273.04452,-0.010084713,0.027778554,0.276266586,0.999797959
LOC119044744,25.76317766,0.001095742,0.02695801,0.585492324,0.999797959
COL4A3,291.5703328,0.001365283,0.026924115,0.609388879,0.999797959
COL4A4,17.19054526,-0.002078519,0.027072043,0.165131214,NA
RHBDD1,388.1470493,0.004732011,0.026857825,0.43322497,0.999797959
LOC119044740,8.167652199,-0.00161743,0.027039648,0.288912227,NA
LOC119044738,23.86700499,-0.002417236,0.027090339,0.199801524,NA
IRS1,9830.384219,0.000865225,0.025408149,0.920898628,0.999797959
LOC119044736,1.015084173,-0.000358685,0.027007332,0.279776048,NA
NYAP2,9.023868286,0.002909827,0.027196096,0.033466736,NA
DOCK10,0.210232555,-3.22E-05,0.027004962,0.887184467,NA
LOC128627588,33.65861728,-0.000984904,0.026919521,0.665399005,0.999797959
CUL3,2582.824187,-0.010841325,0.027006075,0.422880366,0.999797959
SERPINE2,256.6960379,-0.008029336,0.028227581,0.170802696,0.999797959
MRPL44,282.3260816,-0.000713753,0.026144785,0.858199981,0.999797959
WDFY1,2576.575341,-0.00354723,0.025243713,0.709565721,0.999797959
AP1S3,649.0633881,-0.003178893,0.025996231,0.84376562,0.999797959
SCG2,0.675524702,-0.000279255,0.027006079,0.43620288,NA
LOC119061933,1194.066646,0.00082905,0.026786099,0.816019725,0.999797959
KCNE4,0.166168454,-1.37E-05,0.027004946,0.990910121,NA
ACSL3,1303.19525,0.218570293,0.080920816,0.000285265,0.046483118
LOC119050975,2.224123953,-0.000604834,0.027006477,0.378826852,NA
MOGAT1,44.11346685,-0.001121713,0.026889831,0.659813611,0.999797959
FARSB,1740.508246,-0.00061507,0.025750598,0.91779259,0.999797959
SGPP2,3.005086227,0.000860054,0.027021392,0.059005574,NA
LOC128626908,0.53302847,0.000289351,0.027006683,0.303662067,NA
EPHA4,7301.211746,0.05106303,0.104039379,0.015187754,0.591990732
SLC4A3,139.5711888,0.003305502,0.026926332,0.479928835,0.999797959
STK11IP,193.5352837,0.001043984,0.026468431,0.950852389,0.999797959
OBSL1,9.357379966,0.002370808,0.027140255,0.025663902,NA
TMEM198,9.864545611,0.000565687,0.026987205,0.625694293,NA
CHPF,1070.77011,0.005500006,0.027234512,0.335532414,0.999797959
ASIC4,0.661089177,-0.000262483,0.027005913,0.451644276,NA
GMPPA,350.2003243,0.009044156,0.028380484,0.16447544,0.999797959
SPEGNB,1.530165587,-0.000209903,0.027001987,0.669605641,NA
SPEG,625.9998236,0.0015353,0.026913389,0.594835394,0.999797959
DES,2.004766963,5.24E-05,0.02700035,0.881362091,NA
DNPEP,226.2499374,-0.002988371,0.02682591,0.588987757,0.999797959
PTPRN,402.6971806,0.001908685,0.026706281,0.650709736,0.999797959
DNAJB2,547.6343661,0.009094181,0.028064125,0.253112611,0.999797959
LOC119056902,9.751976785,0.000105461,0.026962589,0.849533017,NA
LOC119056884,705.3392922,0.002466944,0.026009554,0.810131707,0.999797959
STK16,622.41302,0.001666881,0.025276881,0.832637185,0.999797959
GLB1L,351.2864426,-0.002210397,0.026215401,0.728093867,0.999797959
ANKZF1,732.2008955,0.000266435,0.026145833,0.956102276,0.999797959
