Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128626932,2.26574026,0.004545709,0.100576469,0.438827008,NA
LOC119041959,708.757245,0.022310294,0.102692058,0.183258357,0.526372484
LOC119041957,591.4238517,0.068294041,0.137891961,0.000309161,0.007493456
LOC119041976,1024.710507,0.052414553,0.121115439,0.000962849,0.018057668
LOC119041968,339.5239464,0.063206737,0.126133793,0.034325559,0.213642679
LOC119041970,5.072159503,0.002336471,0.100029861,0.801795817,NA
SP140,74.65192724,0.021072209,0.099101724,0.45448111,0.782297895
SP140L,262.8631068,0.038823026,0.101235067,0.314011155,0.6777093
SP110,667.8758596,0.034170023,0.099282357,0.368451917,0.723205103
SLC16A14,10.80002327,0.013273488,0.09999242,0.483832892,NA
FBXO36,18.08688174,-0.005706757,0.097692608,0.811477321,NA
LOC128627282,2.865580606,0.003197743,0.100022373,0.78271042,NA
TRIP12,10811.3208,-0.053020525,0.057448306,0.256234218,0.62037948
DNER,290.8509779,0.020702643,0.092480888,0.57118169,0.848030991
PID1,38.15098996,-0.010476821,0.096691087,0.714099877,0.909327582
SPHKAP,8.807430299,0.007990147,0.100054413,0.552879048,NA
DAW1,8.926779882,-0.004520419,0.099362177,0.773938863,NA
CCL20,0.737809741,0.002037635,0.10048793,0.745375223,NA
LOC128627384,1.023863809,0.001602807,0.100361648,0.810327326,NA
SLC19A3,82.24388067,-0.039893583,0.102052694,0.290582484,0.655988115
AGFG1,2349.368074,0.035673434,0.059193728,0.452940655,0.78201447
TM4SF20,5.30078817,-0.013538758,0.100856925,0.303605813,NA
MFF,1273.04452,0.046294505,0.063128429,0.378098648,0.729705215
LOC119044744,25.76317766,-0.007375014,0.097186496,0.680087034,0.89856288
COL4A3,291.5703328,0.017083456,0.096163094,0.608587949,0.868317729
COL4A4,17.19054526,-0.019127627,0.101052494,0.345552617,NA
RHBDD1,388.1470493,0.318897554,0.12437276,0.000700854,0.014282511
LOC119044740,8.167652199,0.03080034,0.10612964,0.076934968,NA
LOC119044738,23.86700499,0.037129741,0.10485906,0.234686185,0.595017334
IRS1,9830.384219,0.032722255,0.061456441,0.523508337,0.821725766
LOC119044736,1.015084173,0.000819744,0.100363844,0.95861407,NA
NYAP2,9.023868286,-0.006781153,0.098716772,0.72869907,NA
DOCK10,0.210232555,-0.000229415,0.100500916,0.982623654,NA
LOC128627588,33.65861728,0.027085964,0.099772897,0.375977566,0.726931761
CUL3,2582.824187,-0.019281295,0.051469393,0.703163004,0.904647844
SERPINE2,256.6960379,-0.200062224,0.160115578,0.017714509,0.140931464
MRPL44,282.3260816,-0.05487403,0.080881312,0.296638706,0.660907305
WDFY1,2576.575341,0.06872059,0.059551787,0.125558968,0.437381457
AP1S3,649.0633881,0.033623961,0.068288704,0.546614876,0.835047857
SCG2,0.675524702,0.002360413,0.100498377,0.747255558,NA
LOC119061933,1194.066646,0.000364645,0.089998078,0.994994569,0.998203724
KCNE4,0.166168454,-9.22E-05,0.100502209,0.985904711,NA
ACSL3,1303.19525,0.335140977,0.074863948,5.89E-07,3.40E-05
LOC119050975,2.224123953,0.002105135,0.10012428,0.815203391,NA
MOGAT1,44.11346685,-0.003720025,0.093778296,0.905102403,0.977417825
FARSB,1740.508246,0.032222669,0.067465074,0.580215443,0.85346618
SGPP2,3.005086227,-0.0091856,0.100981868,0.116252624,NA
LOC128626908,0.53302847,0.002013958,0.100502628,0.809849392,NA
EPHA4,7301.211746,0.095719199,0.062296809,0.056682104,0.287079777
SLC4A3,139.5711888,0.220673965,0.189747467,0.016111347,0.133420786
STK11IP,193.5352837,0.034978357,0.083413176,0.491052632,0.803995751
OBSL1,9.357379966,0.034894753,0.108116651,0.044833323,NA
TMEM198,9.864545611,0.02060237,0.101571975,0.287053053,NA
CHPF,1070.77011,0.038182095,0.08456242,0.49029752,0.803490655
ASIC4,0.661089177,0.003681829,0.100546627,0.500882258,NA
GMPPA,350.2003243,0.701922266,0.112417508,2.44E-11,3.17E-09
SPEGNB,1.530165587,0.008586215,0.100818292,0.180401874,NA
SPEG,625.9998236,-0.004670211,0.093337776,0.890523682,0.972664016
DES,2.004766963,-0.000800189,0.100249485,0.911511235,NA
DNPEP,226.2499374,0.082073709,0.111332855,0.152398566,0.482387419
PTPRN,402.6971806,0.10134526,0.127304132,0.091438514,0.371963445
DNAJB2,547.6343661,0.256001725,0.099735916,0.000996939,0.018372786
LOC119056902,9.751976785,-0.030475598,0.10476792,0.167769742,NA
LOC119056884,705.3392922,-0.064048567,0.076071989,0.233760936,0.593855223
STK16,622.41302,0.151162641,0.071160845,0.008399418,0.085694221
GLB1L,351.2864426,0.132255919,0.098571308,0.043281839,0.24423834
ANKZF1,732.2008955,0.059124057,0.081548693,0.288303108,0.653292385
ATG9A,1414.838267,0.164783731,0.068600559,0.003212197,0.04385722
ABCB6,710.9480691,-0.023895054,0.063770485,0.611567153,0.86929513
ZFAND2B,466.661149,0.036592664,0.075556313,0.462240964,0.786728815
RETREG2,1484.846169,0.024194603,0.060146896,0.706371359,0.906090721
CNPPD1,673.0486218,-0.085690079,0.072460158,0.116525665,0.42277434
SLC23A3,20.3129847,0.007816652,0.097436889,0.757612469,0.929676703
NHEJ1,42.17357234,-0.04751022,0.107057152,0.207148998,0.564112606
CFAP65,8.120385492,0.007814886,0.099427805,0.662708605,NA
CDK5R2,0.328738094,0.002154891,0.100503878,0.63058348,NA
WNT6,3.846290924,0.002849425,0.100009991,0.78057616,NA
LOC119056899,8.663199935,0.016454127,0.101683875,0.196196617,NA
LOC119056909,0.358167451,-2.63E-05,0.100471914,0.969013459,NA
TTLL4,494.8628099,-0.119096255,0.092579462,0.057843496,0.289524738
STK36,645.3484965,0.083288398,0.074256401,0.130074682,0.44425346
RNF25,646.5286077,-0.002707547,0.064210032,0.851213357,0.962099815
LOC119039496,377.8543593,-0.02725296,0.076299669,0.575384425,0.851116505
ZNF142,573.6445925,0.054012881,0.072504533,0.312550809,0.676677264
PLCD4,90.16222626,-0.217110178,0.205295308,0.015624819,0.130750206
LOC128628050,1.206795209,0.001388996,0.100328628,0.81843777,NA
CNOT9,689.1748363,-0.043294399,0.061481977,0.375311777,0.726305173
LOC119039547,8.231184454,-0.021222902,0.102394527,0.200683582,NA
USP37,1011.774194,-0.020751331,0.076387103,0.617470036,0.871687622
VIL1,0.602768109,0.005912922,0.100688107,0.202521535,NA
CTDSP1,567.86452,0.00414951,0.068914857,0.913863256,0.979535063
SLC11A1,1.112509803,0.00455892,0.100563787,0.429970931,NA
CATIP,5.331198418,0.014396884,0.101135433,0.276564153,NA
LOC119039533,285.4101578,-0.070986128,0.097406632,0.170404433,0.508462267
TMBIM1,6179.108853,-0.043173949,0.063587069,0.386532758,0.737317469
LOC119039537,380.0358199,0.013484303,0.065236628,0.919576775,0.980799119
AAMP,2680.066925,-0.044321406,0.057045344,0.423120327,0.765180591
GPBAR1,7.052779994,-0.010705674,0.100125154,0.521650587,NA
ARPC2,13438.25286,-0.059537417,0.068203698,0.251602935,0.61535455
CXCR1,49.34779004,-0.025657793,0.102669509,0.257793481,0.622267291
LOC119039525,0.242154658,-0.000856086,0.100502877,0.832125414,NA
LOC119039529,484.1336578,-0.015488433,0.098662309,0.539961377,0.83173234
RUFY4,439.231543,-0.003136226,0.097009213,0.913831346,0.979535063
TNS1,5969.999579,-0.104664401,0.122722346,0.089110312,0.366183004
LOC119039493,2.612405257,0.016356642,0.101885192,0.139148317,NA
LOC119039542,0.376778169,-0.001070332,0.100446382,0.666369262,NA
IGFBP5,61577.06747,0.002666682,0.09019648,0.94923234,0.98675905
IGFBP2,5.577226613,0.005472114,0.099830255,0.682499829,NA
RPL37A,6065.74956,0.00755671,0.056989343,0.777401405,0.938134001
SMARCAL1,621.5574521,0.1019916,0.072058942,0.055886097,0.284290145
XRCC5,994.743713,-0.009955692,0.057703368,0.858972721,0.964510187
TMEM169,71.43576961,-0.002074006,0.092468126,0.961667737,0.989743012
PECR,163.5646821,0.172624253,0.205544999,0.028787159,0.19170895
MREG,32.94665315,0.034723953,0.101786417,0.312919921,0.676843242
LOC128627015,0.287776763,0.00089303,0.100482729,0.883846122,NA
FN1,6603.503132,-0.038723039,0.105574355,0.215213381,0.573587512
ATIC,1246.898404,-0.136693268,0.089190127,0.030875633,0.200181471
LOC128628364,5.507252594,-0.009133678,0.099826896,0.563592728,NA
ABCA12,243.2315369,0.006840639,0.07417845,0.923107537,0.981324639
BARD1,238.3840068,-0.116856497,0.152010207,0.060092247,0.296495725
SPAG16,29.02198459,-0.014566035,0.09763557,0.605276891,0.866282919
IKZF2,779.333953,-0.047133213,0.086732293,0.334728652,0.696691575
ERBB4,5814.691859,0.222962487,0.138227157,0.009765735,0.095143173
LOC128628494,3.383280812,0.0021092,0.100151076,0.802043292,NA
CPS1,1.820035168,0.006571081,0.10055179,0.368796785,NA
LOC128628506,0.893981514,0.004986842,0.100543682,0.377111361,NA
LANCL1,1539.670021,-0.052105922,0.051881435,0.241375148,0.602410071
MYL1,1.051749176,-0.002182345,0.100361478,0.696638212,NA
ACADL,353.6716529,-0.183612815,0.147642865,0.022092614,0.162390266
KANSL1L,1168.867504,0.032966436,0.080768451,0.532235352,0.826535684
RPE,1099.977012,-0.039461189,0.071393659,0.468458189,0.790976735
UNC80,1.200057005,0.003265326,0.100314951,0.68575567,NA
MAP2,65.81755216,-0.024614506,0.097307861,0.421145151,0.763948181
LOC119064373,2.434076618,-0.002234393,0.100148188,0.798544362,NA
LOC119064309,0.386179778,0.000273571,0.100460749,0.892143903,NA
PTH2R,6.433421291,0.001588347,0.099281164,0.916012476,NA
PIKFYVE,987.3388262,0.00896567,0.070645338,0.86211919,0.965983961
IDH1,2626.936896,-0.026859585,0.087380253,0.566331336,0.844036874
CUNH2orf80,0.630565568,0.002399658,0.10049607,0.733238222,NA
