Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128626932,2.26574026,0.015034613,0.17853639,0.399300327,NA
LOC119041959,708.757245,0.131549087,0.243041129,0.029171398,0.109557272
LOC119041957,591.4238517,2.526699931,0.661098838,5.33E-06,9.91E-05
LOC119041976,1024.710507,1.654079744,0.769880671,0.000733067,0.006365645
LOC119041968,339.5239464,1.064042943,0.399140495,0.000295698,0.002973742
LOC119041970,5.072159503,-0.001657636,0.175556634,0.961269719,NA
SP140,74.65192724,0.069787562,0.171041829,0.372328994,0.600965594
SP140L,262.8631068,0.127710147,0.174077812,0.193916222,0.40167486
SP110,667.8758596,0.058829365,0.149339291,0.498348843,0.708807124
SLC16A14,10.80002327,0.037162357,0.174025112,0.494672287,0.705689414
FBXO36,18.08688174,-0.109376406,0.206244628,0.139260413,0.324262444
LOC128627282,2.865580606,-0.019779973,0.177132761,0.500844288,NA
TRIP12,10811.3208,-0.012875659,0.061084414,0.761248456,0.878172811
DNER,290.8509779,0.099742855,0.151071959,0.296991858,0.527331473
PID1,38.15098996,0.007708217,0.156031479,0.952998975,0.981173869
SPHKAP,8.807430299,-0.000349787,0.173371012,0.988395483,0.99581271
DAW1,8.926779882,-0.016422476,0.172368792,0.723462545,0.855494678
CCL20,0.737809741,0.007675429,0.178028587,0.707473533,NA
LOC128627384,1.023863809,0.000977442,0.177252424,0.982143927,NA
SLC19A3,82.24388067,-0.02940484,0.144202282,0.732641943,0.86132918
AGFG1,2349.368074,0.067405467,0.066205715,0.271403017,0.500294111
TM4SF20,5.30078817,-0.058820629,0.186914129,0.165842292,NA
MFF,1273.04452,0.125099055,0.071878167,0.054623526,0.170501678
LOC119044744,25.76317766,-0.049743305,0.168093993,0.493180765,0.704493117
COL4A3,291.5703328,0.029897619,0.151444605,0.718383342,0.852768714
COL4A4,17.19054526,-0.013179307,0.167471543,0.824394128,0.915661271
RHBDD1,388.1470493,0.74724459,0.115107306,7.31E-12,4.33E-10
LOC119044740,8.167652199,0.13308471,0.244911499,0.032155824,NA
LOC119044738,23.86700499,0.076461125,0.172156929,0.351734219,0.580889427
IRS1,9830.384219,0.047484952,0.069265302,0.482704757,0.6963492
LOC119044736,1.015084173,-0.010495772,0.177904118,0.445200997,NA
NYAP2,9.023868286,-0.076086735,0.189172945,0.20292525,0.41382299
DOCK10,0.210232555,-0.000676232,0.178029362,0.995795678,NA
LOC128627588,33.65861728,0.046018899,0.158541927,0.572456528,0.76329373
CUL3,2582.824187,0.050218001,0.056667906,0.315845608,0.54634352
SERPINE2,256.6960379,-0.44202713,0.149704474,0.000354235,0.00345972
MRPL44,282.3260816,0.020740168,0.091221704,0.798347608,0.898440885
WDFY1,2576.575341,0.1752335,0.064683784,0.003064473,0.019967337
AP1S3,649.0633881,0.072065053,0.080453461,0.310971743,0.541044697
SCG2,0.675524702,0.015433254,0.178664176,0.319214064,NA
