Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
VIL1,0.602768109,0.007522617,0.129008282,0.369447514,NA
CTDSP1,567.86452,0.021614129,0.076576967,0.690132436,0.870322499
SLC11A1,1.112509803,0.013771424,0.129644339,0.127442039,NA
CATIP,5.331198418,0.012206253,0.127988707,0.549950057,NA
LOC119039533,285.4101578,-0.111366339,0.113111624,0.137592426,0.386590528
TMBIM1,6179.108853,-0.053433843,0.067599926,0.353244061,0.636648038
LOC119039537,380.0358199,0.067136834,0.073939777,0.255073339,0.542814005
AAMP,2680.066925,-0.058262444,0.05993699,0.367476083,0.649981684
GPBAR1,7.052779994,-0.016778573,0.127876983,0.49728123,NA
ARPC2,13438.25286,-0.084696972,0.072898152,0.178376856,0.447157994
CXCR1,49.34779004,-0.017016777,0.125125664,0.625539289,0.838237108
LOC119039525,0.242154658,-0.001423564,0.128833172,0.820320756,NA
LOC119039529,484.1336578,-0.023097175,0.124412531,0.553523991,0.789927451
RUFY4,439.231543,-0.003946327,0.121648669,0.919605602,0.974063974
TNS1,5969.999579,-0.240436325,0.155353595,0.015238812,0.093708295
LOC119039493,2.612405257,0.013009131,0.128698272,0.436707716,NA
LOC119039542,0.376778169,0.000916907,0.1286624,0.985624219,NA
IGFBP5,61577.06747,-0.011792431,0.109424037,0.836989742,0.94286107
IGFBP2,5.577226613,-0.004975649,0.127213623,0.857278066,NA
RPL37A,6065.74956,0.037273037,0.061713494,0.491733847,0.749436385
SMARCAL1,621.5574521,0.014955231,0.066010685,0.812952098,0.932671654
XRCC5,994.743713,-0.004702809,0.061491635,0.845842411,0.946624695
TMEM169,71.43576961,-0.018673881,0.114314402,0.728843419,0.890490527
PECR,163.5646821,0.120812867,0.145079781,0.114831726,0.348098169
MREG,32.94665315,0.037677123,0.122503563,0.44367974,0.715147589
LOC128627015,0.287776763,-0.001249434,0.128833057,0.832733629,NA
FN1,6603.503132,-0.070845846,0.143047028,0.165575652,0.42945274
ATIC,1246.898404,-0.181719823,0.089784175,0.012275338,0.080280711
LOC128628364,5.507252594,-0.016913893,0.127701485,0.510105176,NA
ABCA12,243.2315369,0.036549533,0.084999627,0.578662994,0.805642922
BARD1,238.3840068,-0.423737196,0.198929728,0.001917694,0.020128687
SPAG16,29.02198459,-0.040920542,0.128316914,0.371380575,0.653001031
IKZF2,779.333953,-0.075958731,0.101095041,0.295886037,0.584146727
ERBB4,5814.691859,0.268449612,0.131926559,0.005263998,0.043199334
LOC128628494,3.383280812,0.005279429,0.128162412,0.717564531,NA
CPS1,1.820035168,0.009342406,0.128769206,0.435542971,NA
LOC128628506,0.893981514,0.00309088,0.128643807,0.730192575,NA
LANCL1,1539.670021,-0.089406503,0.054583454,0.075228288,0.269312583
MYL1,1.051749176,-0.008485156,0.128932056,0.356908516,NA
ACADL,353.6716529,-0.205407374,0.138162953,0.022690487,0.122897386
KANSL1L,1168.867504,0.058413472,0.093852621,0.361114832,0.644548279
RPE,1099.977012,-0.077324529,0.080864813,0.218182215,0.499666644
UNC80,1.200057005,0.002905355,0.12833643,0.832260085,NA
MAP2,65.81755216,0.005388557,0.114948023,0.911992151,0.970985194
LOC119064373,2.434076618,-0.001848628,0.128029723,0.892334762,NA
LOC119064309,0.386179778,-0.002832504,0.128868102,0.40894032,NA
PTH2R,6.433421291,-0.003075379,0.126338606,0.864923932,NA
PIKFYVE,987.3388262,-0.005245187,0.078332546,0.985920263,0.995156556
IDH1,2626.936896,-0.09018831,0.118451288,0.207316143,0.485959249
CUNH2orf80,0.630565568,0.003896396,0.128816259,0.759244238,NA
PLEKHM3,285.5660271,0.043582042,0.105701287,0.489161229,0.748278527
LOC119064340,5.675903067,-0.019487424,0.12814507,0.46713106,NA
FZD5,493.5789865,-0.042862794,0.110847961,0.494382028,0.751041677
CCNYL1,3680.062785,-0.03861291,0.080652705,0.525346032,0.772393123
LOC119064400,131.8006928,-0.019970117,0.108296202,0.714755826,0.88223781
LOC119064372,816.1483483,-0.111909051,0.131927733,0.133188614,0.379904807
LOC128626294,2.151502752,-0.000333459,0.127740803,0.990801325,NA
METTL21A,713.4382718,-0.028482693,0.068455134,0.597926318,0.820932045
CREB1,932.8734622,-0.09034634,0.077846005,0.178393328,0.447157994
KLF7,1208.662623,-0.317466887,0.101600078,0.000208505,0.003475894
LOC119064387,0.187008491,0.001304838,0.128819939,0.934770614,NA
FASTKD2,593.560885,0.028230919,0.064689672,0.616039531,0.831447998
MDH1B,18.38406556,0.04186143,0.13137014,0.311091767,NA
ADAM23,30.8119391,-0.335650685,0.551948212,0.011943009,0.078672102
ZDBF2,666.5735797,-0.043333052,0.120229221,0.497157463,0.753263329
CMKLR2,247.2234879,0.0351869,0.123356487,0.491383617,0.749326231
EEF1B2,6879.067819,0.062663998,0.077410737,0.297138065,0.584874479
LOC119064398,13.87872396,-0.017509732,0.125663031,0.629739105,NA
LOC119064397,10.85736221,0.039627344,0.132226683,0.262035406,NA
NDUFS1,2260.992933,-0.051384422,0.045218159,0.25012457,0.537462281
LOC119064381,20.26676238,-0.031015494,0.127085269,0.437670048,0.709857068
LOC119064321,63.1209386,-0.000632634,0.109228109,0.995219747,0.998168448
INO80D,2111.062148,0.068556619,0.105832116,0.319311994,0.604720206
LOC128627026,0.22508616,0.000399052,0.128789839,0.967286991,NA
NRP2,1556.95319,0.013517691,0.106639793,0.823814776,0.937041549
PARD3B,857.8600167,0.207774278,0.129057396,0.019360793,0.109932413
LOC128626133,0.38707116,-0.000722917,0.128819758,0.946688258,NA
CD28,0.164263326,-0.000236311,0.128830547,0.978979713,NA
RAPH1,1934.569618,0.013409086,0.087540573,0.79597814,0.924004117
ABI2,1417.250983,0.055476895,0.064863084,0.303435985,0.591700171
LOC119064359,754.3626423,0.222228461,0.087298625,0.00222353,0.022409564
NBEAL1,2662.117159,0.009715677,0.100865507,0.877669533,0.957701435
CARF,381.1476795,0.127562187,0.118061453,0.099064927,0.317990186
WDR12,1046.991116,-0.057282256,0.072334704,0.34953471,0.632992392
ICA1L,21.47705634,0.062971887,0.142768529,0.140848528,0.391764728
ADCY1,0.353104425,-0.000772522,0.128819273,0.946482376,NA
IGFBP1,5.629765146,-0.023424546,0.130632289,0.205463467,NA
IGFBP3,27.91345358,0.02973408,0.130272146,0.310672943,0.597815624
TNS3,1959.248511,0.036649582,0.096079751,0.482429808,0.742777658
PKD1L1,9.329999696,-0.055519971,0.142048817,0.102037446,NA
HUS1,199.0178242,-0.036984266,0.100158173,0.605805426,0.824969204
SUN3,0.270041872,0.004047602,0.128886521,0.631505964,NA
CUNH7orf57,22.74221817,0.050349438,0.135375756,0.218106595,0.499645702
