Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128626932,2.26574026,0.151861466,0.431717906,0.073365173,0.147636698
LOC119041959,708.757245,7.105990701,0.593280603,2.61E-34,4.88E-32
LOC119041957,591.4238517,8.014943295,0.65697483,4.22E-35,8.26E-33
LOC119041976,1024.710507,7.686496962,0.650758844,1.26E-33,2.23E-31
LOC119041968,339.5239464,3.066740406,0.340583646,1.71E-20,9.40E-19
LOC119041970,5.072159503,0.342695792,0.536592699,0.085037254,0.165774817
SP140,74.65192724,1.943877165,0.325711863,1.67E-10,2.43E-09
SP140L,262.8631068,1.903859794,0.229727652,7.05E-18,2.89E-16
SP110,667.8758596,2.000306766,0.233041769,6.57E-19,2.98E-17
SLC16A14,10.80002327,0.284819,0.389472852,0.195700338,0.318031968
FBXO36,18.08688174,-0.775253794,0.367100345,0.005080355,0.015606973
LOC128627282,2.865580606,-0.008188671,0.362055097,0.954202905,0.975256444
TRIP12,10811.3208,-0.139173569,0.06426211,0.026316773,0.063215912
DNER,290.8509779,1.425473045,0.207074337,5.39E-13,1.13E-11
PID1,38.15098996,1.014158613,0.307292836,0.00011785,0.00056328
SPHKAP,8.807430299,0.255379998,0.427762892,0.19452481,0.31639794
DAW1,8.926779882,-2.320257782,0.799767821,0.000299404,0.001301519
CCL20,0.737809741,-0.036336943,0.392700396,0.533082757,NA
LOC128627384,1.023863809,-0.052068569,0.386354666,0.560999934,0.685947694
SLC19A3,82.24388067,0.112593325,0.191939922,0.507670526,0.638290317
AGFG1,2349.368074,0.11997627,0.068984903,0.077336277,0.153958173
TM4SF20,5.30078817,-0.285668557,0.449082731,0.153258975,0.263315961
MFF,1273.04452,0.21088402,0.073076954,0.004558301,0.014202974
LOC119044744,25.76317766,-0.04081294,0.262623707,0.846546343,0.90093287
COL4A3,291.5703328,-0.031607974,0.226082308,0.885323356,0.927476356
COL4A4,17.19054526,0.565864095,0.351822696,0.025599226,0.061783631
RHBDD1,388.1470493,0.94594749,0.106016826,6.31E-20,3.26E-18
LOC119044740,8.167652199,0.078981284,0.335936289,0.661462955,0.768059147
LOC119044738,23.86700499,0.190547881,0.268265342,0.34840428,0.487406453
IRS1,9830.384219,0.147359759,0.073486271,0.038890696,0.087693173
LOC119044736,1.015084173,-0.113318246,0.416650742,0.06401606,0.131892385
NYAP2,9.023868286,-0.681353526,0.662808947,0.031497746,0.073436492
DOCK10,0.210232555,-0.006543428,0.395542359,0.895186036,NA
LOC128627588,33.65861728,-0.127388185,0.245746412,0.50676838,0.637680699
CUL3,2582.824187,0.114128234,0.058564525,0.044478301,0.097816254
SERPINE2,256.6960379,-0.97238269,0.14687826,5.07E-12,9.30E-11
MRPL44,282.3260816,0.030203701,0.104946008,0.769786156,0.847121814
WDFY1,2576.575341,0.548189864,0.064672701,8.62E-18,3.47E-16
AP1S3,649.0633881,0.404314119,0.090498097,4.35E-06,2.92E-05
SCG2,0.675524702,-0.076770726,0.401672043,0.201740332,NA
LOC119061933,1194.066646,-0.225596738,0.188122832,0.166712478,0.280974209
KCNE4,0.166168454,-0.001465759,0.395510996,0.997461834,NA
ACSL3,1303.19525,0.576196805,0.075192689,6.22E-15,1.69E-13
LOC119050975,2.224123953,-0.05882358,0.374298285,0.647132737,0.755962565
MOGAT1,44.11346685,-0.323350535,0.237147388,0.095721781,0.18255992
FARSB,1740.508246,0.567735309,0.087044967,2.43E-11,4.02E-10
SGPP2,3.005086227,0.113859718,0.40544583,0.240581922,0.372221087
LOC128626908,0.53302847,-0.035797811,0.396593688,0.533572353,NA
EPHA4,7301.211746,-0.278734692,0.065197887,1.56E-05,9.25E-05
SLC4A3,139.5711888,0.791198704,0.162729459,8.46E-08,7.95E-07
STK11IP,193.5352837,-0.097706552,0.120865275,0.388659721,0.525782224
OBSL1,9.357379966,0.209121376,0.369974359,0.30451908,0.44214804
TMEM198,9.864545611,0.363475563,0.40075409,0.129863418,0.232061662
CHPF,1070.77011,0.114378243,0.122652923,0.35620259,0.495225005
ASIC4,0.661089177,0.059166183,0.398578039,0.465530921,NA
GMPPA,350.2003243,0.757523718,0.109312648,9.53E-13,1.94E-11
SPEGNB,1.530165587,0.170751205,0.424676034,0.188518578,0.308667731
SPEG,625.9998236,-0.248404196,0.225386835,0.198170878,0.32102269
DES,2.004766963,0.012362385,0.376742986,0.926217878,0.95583579
