Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128626932,2.26574026,6.076865271,2.758423294,0.000350185,0.002746848
LOC119041959,708.757245,9.175846269,0.591389671,2.08E-55,5.10E-53
LOC119041957,591.4238517,10.04936495,0.655877187,1.30E-53,3.02E-51
LOC119041976,1024.710507,9.707564999,0.649098306,5.41E-52,1.13E-49
LOC119041968,339.5239464,5.11203764,0.336635848,5.63E-53,1.22E-50
LOC119041970,5.072159503,3.768950255,0.849438579,1.24E-06,1.85E-05
SP140,74.65192724,3.66593434,0.313225255,7.25E-33,7.45E-31
SP140L,262.8631068,3.465294313,0.22516636,9.63E-55,2.29E-52
SP110,667.8758596,3.683038035,0.230268513,8.16E-59,2.40E-56
SLC16A14,10.80002327,-0.218733078,0.37347889,0.261083428,0.475778391
FBXO36,18.08688174,-0.148769727,0.25820685,0.443649733,0.660079179
LOC128627282,2.865580606,0.083183029,0.357039594,0.571331911,0.760773301
TRIP12,10811.3208,0.082125619,0.063977933,0.192730243,0.392260203
DNER,290.8509779,-0.213707466,0.193119677,0.202126557,0.404636992
PID1,38.15098996,0.511722887,0.299068923,0.02408697,0.087640665
SPHKAP,8.807430299,0.024750141,0.335348013,0.884170378,0.94892912
DAW1,8.926779882,-0.131822959,0.330702211,0.466227149,0.678820453
CCL20,0.737809741,0.035285894,0.374365809,0.694344566,NA
LOC128627384,1.023863809,-0.095481735,0.384776792,0.266698781,NA
SLC19A3,82.24388067,0.991562418,0.21076984,4.14E-07,6.82E-06
AGFG1,2349.368074,0.056880414,0.068699432,0.400340435,0.621444355
TM4SF20,5.30078817,-0.119953195,0.348376457,0.463760187,0.676606729
MFF,1273.04452,-0.013459374,0.072792617,0.762118373,0.884317703
LOC119044744,25.76317766,-0.149003789,0.270361789,0.444173281,0.660201083
COL4A3,291.5703328,-0.098839421,0.225903566,0.621404895,0.795616998
COL4A4,17.19054526,0.523993193,0.346956372,0.031281593,0.107302457
RHBDD1,388.1470493,0.90608535,0.105684038,1.41E-18,7.75E-17
LOC119044740,8.167652199,0.481077692,0.50488879,0.061532477,0.177172583
LOC119044738,23.86700499,0.24234325,0.271330222,0.236213686,0.447212023
IRS1,9830.384219,0.135443602,0.073321292,0.053036454,0.159206198
LOC119044736,1.015084173,-0.08056558,0.386804971,0.140772172,NA
NYAP2,9.023868286,-0.297484796,0.406558443,0.155109115,0.339285452
DOCK10,0.210232555,0.004647862,0.377707738,0.982413614,NA
LOC128627588,33.65861728,-0.043463633,0.232824333,0.810100097,0.911002441
CUL3,2582.824187,-0.256459225,0.059198099,1.63E-05,0.000190066
SERPINE2,256.6960379,-0.638472208,0.142405703,1.85E-06,2.65E-05
MRPL44,282.3260816,0.062225329,0.103485151,0.538429608,0.736190006
WDFY1,2576.575341,0.591551756,0.064540354,1.54E-20,9.41E-19
AP1S3,649.0633881,0.50609924,0.089944144,7.51E-09,1.63E-07
SCG2,0.675524702,-0.095337594,0.393895883,0.07726239,NA
LOC119061933,1194.066646,-0.276185658,0.190765049,0.090005709,0.231941045
KCNE4,0.166168454,-0.001433658,0.378471158,0.985683014,NA
ACSL3,1303.19525,0.141210225,0.074891375,0.0540546,0.161621726
LOC119050975,2.224123953,-0.053193894,0.359037868,0.66207778,0.822075228
MOGAT1,44.11346685,-0.159294668,0.215466297,0.373964718,0.597101479
FARSB,1740.508246,0.000737118,0.085650547,0.992817603,0.996664991
SGPP2,3.005086227,0.10115958,0.386150029,0.249297283,0.462246891
LOC128626908,0.53302847,0.004482986,0.375549037,0.945827205,NA
EPHA4,7301.211746,-0.116721701,0.06466197,0.068947992,0.192668509
SLC4A3,139.5711888,0.202573536,0.156336873,0.153698863,0.337018273
STK11IP,193.5352837,0.06010478,0.117795404,0.591373416,0.774969737
OBSL1,9.357379966,-0.29890076,0.436941473,0.143222558,0.321156857
TMEM198,9.864545611,-0.078787581,0.31310291,0.668474657,0.826106328
CHPF,1070.77011,0.133827177,0.122363323,0.272649586,0.489263462
ASIC4,0.661089177,0.091336333,0.391623779,0.147952755,NA
GMPPA,350.2003243,0.200738491,0.108396591,0.052834474,0.158745008
SPEGNB,1.530165587,-0.083791234,0.382167008,0.301993953,0.522530265
SPEG,625.9998236,-0.827658507,0.257595468,0.000192536,0.00165213
DES,2.004766963,0.10374437,0.378795236,0.385036564,0.60801436
DNPEP,226.2499374,1.169064458,0.14842423,3.90E-16,1.77E-14
PTPRN,402.6971806,0.408209353,0.161069342,0.005635047,0.0277295
DNAJB2,547.6343661,-0.025797776,0.090498952,0.76639246,0.886649923
LOC119056902,9.751976785,-0.094513862,0.323804862,0.596618577,0.778368991
LOC119056884,705.3392922,-0.393859972,0.099460462,3.95E-05,0.000414816
STK16,622.41302,-0.036458186,0.06967912,0.580927983,0.767649997
GLB1L,351.2864426,-0.025874421,0.093469252,0.785903006,0.897543159
ANKZF1,732.2008955,-0.095823866,0.100422635,0.318167345,0.538500033
ATG9A,1414.838267,0.018008851,0.065509788,0.78322616,0.896032097
ABCB6,710.9480691,-0.308667249,0.084758993,0.000181789,0.001569746
ZFAND2B,466.661149,0.123589879,0.100449076,0.214089128,0.420028563
RETREG2,1484.846169,0.083192615,0.071619872,0.239172764,0.450686466
CNPPD1,673.0486218,-0.069590047,0.078141885,0.416049506,0.635122556
SLC23A3,20.3129847,0.218703888,0.302373444,0.28315841,0.500742973
NHEJ1,42.17357234,0.134164969,0.229156706,0.463581705,0.676553111
CFAP65,8.120385492,1.203070011,0.554803238,0.002297394,0.013234567
CDK5R2,0.328738094,0.000470265,0.3768867,0.969028371,NA
WNT6,3.846290924,-0.15153646,0.391428096,0.247784013,0.460734784
LOC119056899,8.663199935,6.393156627,1.200647435,1.25E-08,2.62E-07
LOC119056909,0.358167451,0.039478649,0.380430495,0.467418298,NA
TTLL4,494.8628099,0.591580632,0.09744412,4.01E-10,1.07E-08
STK36,645.3484965,0.246854101,0.079230405,0.001444979,0.009002238
RNF25,646.5286077,0.08718249,0.081160044,0.279961913,0.497087315
LOC119039496,377.8543593,-0.128252157,0.10930539,0.231071045,0.440468295
ZNF142,573.6445925,0.205618625,0.088516092,0.016685887,0.065913662
PLCD4,90.16222626,-0.375279435,0.155779461,0.008174733,0.037292117
LOC128628050,1.206795209,-0.251147113,0.498477047,0.009940144,NA
CNOT9,689.1748363,0.164888376,0.072321899,0.019945962,0.075752266
LOC119039547,8.231184454,-0.047226724,0.321662437,0.777406365,0.893129015
USP37,1011.774194,-0.056427423,0.107635954,0.586470675,0.771867144
VIL1,0.602768109,0.032239023,0.375378522,0.600666199,NA
CTDSP1,567.86452,-0.096097452,0.093986079,0.304186488,0.524997906
SLC11A1,1.112509803,-0.163206737,0.419657586,0.061149271,NA
CATIP,5.331198418,-0.29957675,0.413486262,0.150615186,0.332518367
LOC119039533,285.4101578,-0.294759018,0.130430111,0.015555976,0.062455628
TMBIM1,6179.108853,-0.014484679,0.074515205,0.861161707,0.937577619
LOC119039537,380.0358199,-0.120450359,0.081689218,0.132599782,0.304139652
AAMP,2680.066925,-0.242339596,0.065266355,0.000152664,0.001347259
GPBAR1,7.052779994,-0.55629332,0.624855563,0.042597982,0.135648543
ARPC2,13438.25286,-0.142042267,0.0788151,0.065014683,0.184325988
CXCR1,49.34779004,-0.20575668,0.321029521,0.307742292,0.528688177
LOC119039525,0.242154658,-0.00496738,0.378293258,0.975024455,NA
LOC119039529,484.1336578,-0.16335454,0.282833192,0.399688864,0.620928338
RUFY4,439.231543,-0.040671558,0.264435102,0.820744172,0.915635512
TNS1,5969.999579,-0.425244224,0.143777292,0.001402076,0.008788232
LOC119039493,2.612405257,-0.166521023,0.405114793,0.199233458,0.401059083
LOC119039542,0.376778169,-0.015440294,0.375545663,0.753340091,NA
IGFBP5,61577.06747,-0.24389029,0.189606922,0.13656201,0.310369921
IGFBP2,5.577226613,0.088405284,0.36301909,0.496505906,0.703165958
RPL37A,6065.74956,-0.200535084,0.068575191,0.002892095,0.016004355
SMARCAL1,621.5574521,0.096793712,0.073640033,0.186695455,0.384209459
XRCC5,994.743713,-0.00686589,0.070230869,0.950966237,0.978478535
TMEM169,71.43576961,-0.207754877,0.213554346,0.240789155,0.452408709
PECR,163.5646821,-0.140435221,0.166335451,0.354379561,0.577495725
MREG,32.94665315,0.800146447,0.289522047,0.000887925,0.005979566
LOC128627015,0.287776763,0.017798268,0.377740763,0.812504717,NA
FN1,6603.503132,0.410737075,0.294112127,0.060469353,0.175061919
ATIC,1246.898404,-0.114258377,0.08963647,0.189019689,0.387538684
LOC128628364,5.507252594,0.034711601,0.32519945,0.842379267,0.927216636
ABCA12,243.2315369,-0.114096661,0.107444257,0.26785089,0.483767601
BARD1,238.3840068,-0.062785646,0.166429086,0.674590017,0.830238389
SPAG16,29.02198459,0.0438175,0.2525114,0.841632476,0.926810418
IKZF2,779.333953,0.451872818,0.124886889,0.000136843,0.001224068
ERBB4,5814.691859,0.264753705,0.121127672,0.020725022,0.077991529
LOC128628494,3.383280812,0.073194804,0.365392457,0.551485078,0.746104096
CPS1,1.820035168,0.040914157,0.369006158,0.643516618,0.809491715
LOC128628506,0.893981514,0.053124029,0.374792847,0.536221729,NA
LANCL1,1539.670021,-0.253189147,0.056126611,4.91E-06,6.41E-05
MYL1,1.051749176,-0.039883178,0.37229798,0.611199776,NA
ACADL,353.6716529,-0.081225867,0.127495146,0.499455888,0.70584254
KANSL1L,1168.867504,-0.199488502,0.115161932,0.068076662,0.190802659
RPE,1099.977012,0.193930363,0.090078342,0.026008053,0.093057322
UNC80,1.200057005,-0.092660302,0.383097797,0.304104035,NA
MAP2,65.81755216,0.699369461,0.263888292,0.001505435,0.00929435
LOC119064373,2.434076618,-0.18062178,0.394025264,0.232386035,0.441882051
LOC119064309,0.386179778,-0.004141887,0.37689651,0.844151903,NA
PTH2R,6.433421291,-0.044137547,0.321180509,0.795450265,0.902740237
PIKFYVE,987.3388262,-0.118813275,0.094550642,0.189389389,0.388006348
IDH1,2626.936896,0.052519656,0.143631161,0.693547348,0.841767721
CUNH2orf80,0.630565568,0.017439735,0.374174262,0.777784733,NA
PLEKHM3,285.5660271,0.235854343,0.148225715,0.081583474,0.216620462
LOC119064340,5.675903067,-0.008213944,0.328482317,0.957425771,0.980872202
FZD5,493.5789865,-0.310980973,0.174155617,0.042226907,0.134801932
CCNYL1,3680.062785,0.412302903,0.099225156,1.62E-05,0.000188258
LOC119064400,131.8006928,-0.100074834,0.172703587,0.518651622,0.720563742
LOC119064372,816.1483483,0.024677083,0.149180241,0.867708472,0.941208659
LOC128626294,2.151502752,-0.166643539,0.39977122,0.228621752,0.43717502
METTL21A,713.4382718,0.057615973,0.076224789,0.427492211,0.646567228
CREB1,932.8734622,0.166784435,0.082528956,0.038239103,0.124888575
KLF7,1208.662623,-0.129993424,0.096056521,0.131620866,0.302542563
LOC119064387,0.187008491,-0.004800145,0.378541189,0.897665767,NA
FASTKD2,593.560885,-0.020684877,0.071477359,0.766618111,0.886729166
MDH1B,18.38406556,0.274368572,0.299161738,0.191350336,0.390466783
ADAM23,30.8119391,-0.302406584,0.286926588,0.146333249,0.325852546
ZDBF2,666.5735797,-0.700248289,0.237587701,0.000605121,0.004361595
CMKLR2,247.2234879,0.238674061,0.257522075,0.22383186,0.431673854
EEF1B2,6879.067819,-0.154290858,0.088127457,0.071265909,0.197252998
LOC119064398,13.87872396,-0.043424449,0.271691925,0.818889398,0.914816918
LOC119064397,10.85736221,-0.177305108,0.323268836,0.373689146,0.596867773
NDUFS1,2260.992933,-0.110714449,0.047282233,0.014922108,0.060246272
LOC119064381,20.26676238,-0.135930955,0.27494464,0.482497902,0.691573265
LOC119064321,63.1209386,0.08846779,0.178503872,0.574996105,0.762995235
INO80D,2111.062148,0.260697616,0.136732029,0.039136018,0.127211402
LOC128627026,0.22508616,0.022852469,0.378707563,0.758459877,NA
NRP2,1556.95319,1.042780473,0.188334246,3.54E-09,8.16E-08
PARD3B,857.8600167,0.400597263,0.120630453,0.000455373,0.003445367
LOC128626133,0.38707116,0.008742983,0.376058354,0.986008222,NA
CD28,0.164263326,-0.004087755,0.37852604,0.903218167,NA
RAPH1,1934.569618,0.195029857,0.115057649,0.074133544,0.202699086
ABI2,1417.250983,-0.082584349,0.069876602,0.206646355,0.410223704
LOC119064359,754.3626423,-0.197782441,0.087364644,0.019687401,0.074926057
NBEAL1,2662.117159,-0.049123321,0.148094674,0.713035761,0.855257966
CARF,381.1476795,0.083969554,0.120673866,0.464137898,0.676977572
WDR12,1046.991116,-0.031134995,0.081929813,0.692699006,0.841485471
ICA1L,21.47705634,0.214592137,0.318112309,0.298167128,0.517523025
ADCY1,0.353104425,0.035067165,0.379381139,0.614963326,NA
IGFBP1,5.629765146,-2.283352817,0.986560293,0.000856809,0.005813786
IGFBP3,27.91345358,3.189916077,0.522948452,5.76E-11,1.73E-09
TNS3,1959.248511,0.154345777,0.128678885,0.20191972,0.404553025
PKD1L1,9.329999696,-0.183311397,0.321093407,0.353823933,0.576818966
HUS1,199.0178242,-0.050476357,0.142115247,0.701241773,0.847044007
SUN3,0.270041872,-0.013539188,0.378393394,0.811814573,NA
CUNH7orf57,22.74221817,1.05360756,0.3586818,0.000349399,0.0027433
UPP1,119.7754085,5.528057267,0.430118155,3.32E-39,4.63E-37
ABCA13,1.831168853,3.079200902,2.503876104,0.003224106,0.017453913
VWC2,7.228000032,0.011822536,0.326114314,0.945576766,0.975847568
ZPBP,73.8461007,0.183299143,0.170385094,0.226904449,0.435555872
SPATA48,42.78759342,0.082899111,0.198328161,0.627747726,0.800186104
LOC119057327,0.528956068,-0.032683002,0.375980869,0.516243789,NA
IKZF1,185.3805742,1.778040538,0.185325558,6.17E-23,4.31E-21
FIGNL1,217.1734053,-0.152483065,0.129369117,0.210000173,0.414396025
DDC,0.875778663,0.048611475,0.377819195,0.473475247,NA
GRB10,11389.49296,-0.146106858,0.075075834,0.046726433,0.145387829
COBL,1675.588079,-0.194179279,0.079619037,0.012407452,0.051800639
VSTM2A,0.258537864,0.015128665,0.3782792,0.91127246,NA
SEC61G,922.4810604,-0.160703726,0.082139477,0.044773436,0.140965159
EGFR,945.4312224,-0.23933565,0.142407827,0.070106843,0.194832083
LOC119057340,1.493982626,-0.015057117,0.366372687,0.875824687,0.945323116
LANCL2,122.7022721,-0.179236101,0.136366611,0.159990141,0.345650186
LOC128626824,81.5274493,-0.114052596,0.162464624,0.43589794,0.652874012
VOPP1,63.07137339,-0.348159922,0.213772959,0.052753277,0.158703865
LSMEM1,3.598402278,-0.000173226,0.346546401,0.999014028,0.999358607
IFRD1,1286.754161,0.869926874,0.102067249,4.72E-18,2.51E-16
ZNF277,789.8773831,-0.313946123,0.135533501,0.012909067,0.053339525
DOCK4,616.9189127,-0.791047726,0.186553752,3.60E-06,4.82E-05
LOC119057308,0.501374082,0.019831035,0.375466823,0.816247566,NA
IMMP2L,15.36190405,0.095359311,0.274698713,0.628589484,0.800576954
LRRN3,26.79844325,0.319416345,0.291829829,0.13313253,0.305106208
DNAJB9,2909.433727,0.592199159,0.102591156,2.36E-09,5.64E-08
THAP5,600.6834241,0.275340231,0.120074167,0.015284589,0.061471117
GPR141,0.280564625,-0.003441761,0.378361168,0.979012314,NA
ELMO1,212.9092499,0.10987657,0.123971268,0.347831174,0.570113009
ANLN,5399.119703,-0.525868564,0.126144378,1.07E-05,0.000129161
MATCAP2,66.26667036,-0.102759686,0.182757502,0.518379501,0.720350096
EEPD1,12.27046909,-0.786536804,0.579696375,0.01778187,0.069195673
SEPTIN7,5087.197189,-0.289339485,0.055248909,1.89E-07,3.28E-06
HERPUD2,621.9012319,0.284520781,0.091439381,0.00132832,0.008428758
TBX20,1947.438204,0.435041782,0.123417518,0.000193512,0.001659584
DPY19L2,156.3993694,-0.043051569,0.148768229,0.707713135,0.851545057
DPY19L1,896.7928626,-0.349170583,0.076508589,2.62E-06,3.62E-05
BMPER,22.68864811,-0.178394658,0.263346395,0.357162465,0.580305176
LOC128626839,13.84984915,-0.485164606,0.523990327,0.057571462,0.168632175
BBS9,696.0936168,0.376361517,0.075966628,3.65E-07,6.06E-06
LOC128626840,127.4498006,-0.073200948,0.165585006,0.631171468,0.802124922
RP9,101.783437,0.173134177,0.140969827,0.19655571,0.397389624
NT5C3A,489.7890358,-0.414049345,0.093128468,7.06E-06,8.89E-05
LOC119035304,0.364606173,-0.01984377,0.378522052,0.774853213,NA
FKBP9,2173.804693,-0.385489144,0.067952597,1.51E-08,3.14E-07
LOC119035195,56.74971197,-0.004086504,0.177858563,0.980203117,0.990322586
KBTBD2,1313.02611,0.136116515,0.083695518,0.091459227,0.234876781
AVL9,838.8563791,0.033648068,0.111675064,0.739996507,0.872197475
LSM5,411.7199642,-0.104271635,0.117503743,0.349764252,0.572137761
PDE1C,199.2656677,0.362272356,0.157286573,0.012317841,0.051518092
ADCYAP1R1,0.64441453,0.055663017,0.380105394,0.435985627,NA
AQP1,20.41926045,-0.069561286,0.255362723,0.714239785,0.855640944
MINDY4,67.54742391,0.382414788,0.198154426,0.026229852,0.093606467
GARS1,3426.655425,0.540107093,0.061470057,5.56E-19,3.12E-17
LOC119035252,348.2025561,0.119819473,0.093808957,0.186985625,0.384501442
GGCT,359.4633419,-0.14613569,0.088640207,0.078811769,0.211515555
NOD1,331.3422368,1.471109839,0.131458357,5.64E-30,5.24E-28
LOC128626878,14.2740701,0.094051184,0.315127105,0.612056062,0.789797795
BTG1,2145.754355,0.879113126,0.148230615,4.64E-10,1.23E-08
PLEKHG7,114.9690979,-0.499749248,0.198428075,0.003984377,0.020855506
EEA1,2859.834542,-0.1981905,0.13520457,0.115559051,0.275468517
LOC119050035,2.926626697,-0.362827148,0.590871704,0.049073454,0.150469349
LOC119050017,0.447436147,0.022563642,0.376284285,0.800985911,NA
NUDT4,9228.00664,-0.508883052,0.075316209,9.16E-12,2.99E-10
UBE2N,3104.055613,-0.282523459,0.079831163,0.000279474,0.002266252
MRPL42,399.7240219,0.152861735,0.094676496,0.094290861,0.23949267
SOCS2,158.0940884,1.167160649,0.204226065,1.22E-09,3.06E-08
CRADD,98.50005465,-0.2732617,0.152182175,0.050124262,0.152892948
PLXNC1,76.32210858,0.53519996,0.230441394,0.006105424,0.029592949
CEP83,618.5982276,0.132673648,0.082353676,0.098371237,0.246580502
TMCC3,4.208247102,2.170637542,0.896021646,0.000996412,0.006613647
KCNA6,0.41742281,0.032729942,0.378207657,0.625198036,NA
KCNA1,8.265012054,6.044403415,1.093788635,2.96E-08,5.79E-07
GALNT8,8.729618656,0.778111372,0.536793554,0.015704703,0.062868523
NDUFA9,932.8393244,0.148818693,0.064576569,0.017919983,0.069650694
AKAP3,3.751914737,0.072152068,0.363662152,0.574149909,0.762271794
DYRK4,0.618125231,0.0296283,0.377791229,0.748338727,NA
RAD51AP1,206.9442352,0.050761274,0.125484027,0.669238802,0.826482021
CUNH12orf4,641.372378,0.015598264,0.089337655,0.91863947,0.963780995
FGF23,1.82391961,0.084745555,0.372041581,0.475773884,0.686299069
TIGAR,542.520504,0.425848627,0.095420986,3.97E-06,5.26E-05
CCND2,21046.59642,-0.413580987,0.123590009,0.000389945,0.003012727
