Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128626932,2.26574026,0.049238856,0.208385614,0.017252321,NA
LOC119041959,708.757245,6.477551873,0.592254124,2.77E-29,9.86E-27
LOC119041957,591.4238517,7.349045445,0.621617445,1.29E-33,6.23E-31
LOC119041976,1024.710507,7.803028004,0.672775856,9.67E-33,4.52E-30
LOC119041968,339.5239464,3.316878005,0.344058206,2.37E-23,6.00E-21
LOC119041970,5.072159503,0.125745496,0.254047847,0.026118256,0.116300453
SP140,74.65192724,1.960994589,0.311404885,1.60E-11,1.23E-09
SP140L,262.8631068,1.988351846,0.225351132,5.88E-20,1.10E-17
SP110,667.8758596,1.789909457,0.233019806,8.04E-16,1.09E-13
SLC16A14,10.80002327,0.007573416,0.190185616,0.893082111,0.952731261
FBXO36,18.08688174,-0.069870821,0.185865702,0.445217388,0.682005438
LOC128627282,2.865580606,-0.036146551,0.200530586,0.371604773,NA
TRIP12,10811.3208,-6.69E-06,0.061724265,0.933348574,0.972465522
DNER,290.8509779,0.646902209,0.218702255,0.00023811,0.002913783
PID1,38.15098996,0.532084437,0.381804506,0.009427916,0.054584594
SPHKAP,8.807430299,0.001008856,0.193255373,0.985712902,0.99360197
DAW1,8.926779882,-0.031401434,0.192919141,0.606712602,0.796287013
CCL20,0.737809741,0.01021317,0.200131714,0.610316587,NA
LOC128627384,1.023863809,0.006664436,0.198893265,0.812511418,NA
SLC19A3,82.24388067,0.106270743,0.163091135,0.322045806,0.572234086
AGFG1,2349.368074,0.108785489,0.067515782,0.086115101,0.257399362
TM4SF20,5.30078817,-0.016418256,0.193265994,0.751332914,0.885973326
MFF,1273.04452,0.140220779,0.071981846,0.036321939,0.145305184
LOC119044744,25.76317766,-0.020069106,0.176508772,0.808567599,0.913422607
COL4A3,291.5703328,0.129566839,0.19310294,0.221318456,0.460674827
COL4A4,17.19054526,0.050822934,0.185204433,0.543781896,0.75413875
RHBDD1,388.1470493,0.350579419,0.111483484,0.000363226,0.004121337
LOC119044740,8.167652199,-0.00823747,0.188745232,0.896708421,0.95448797
LOC119044738,23.86700499,0.043862461,0.175047197,0.62476824,0.808523352
IRS1,9830.384219,0.036715327,0.0700647,0.641626944,0.820220131
LOC119044736,1.015084173,0.000517507,0.199543258,0.904520845,NA
NYAP2,9.023868286,0.005900895,0.187932443,0.903594804,0.957364016
DOCK10,0.210232555,0.00242678,0.199995631,0.969118172,NA
LOC128627588,33.65861728,0.147242498,0.205836678,0.182379029,0.410063659
CUL3,2582.824187,0.045256245,0.057076216,0.38572208,0.631548342
SERPINE2,256.6960379,-0.456599066,0.148061472,0.000271939,0.003263701
MRPL44,282.3260816,0.069596974,0.098045034,0.415951386,0.658256154
WDFY1,2576.575341,0.336749798,0.065217579,5.71E-08,2.24E-06
AP1S3,649.0633881,0.240018545,0.089125116,0.002848686,0.021718507
SCG2,0.675524702,-0.017118979,0.200542433,0.283316902,NA
LOC119061933,1194.066646,-0.146583391,0.167643888,0.190324965,0.420605655
KCNE4,0.166168454,-0.000347155,0.200108955,0.975006111,NA
ACSL3,1303.19525,0.470409026,0.074868771,5.03E-11,3.63E-09
LOC119050975,2.224123953,0.002434219,0.196795684,0.9510835,NA
MOGAT1,44.11346685,0.041604506,0.161883939,0.671356121,0.839952826
FARSB,1740.508246,0.123168493,0.082937359,0.10177391,0.286791251
SGPP2,3.005086227,0.003631753,0.198673528,0.884137477,NA
LOC128626908,0.53302847,0.002925436,0.199635078,0.980397597,NA
EPHA4,7301.211746,0.074439514,0.062847321,0.211808843,0.448935158
SLC4A3,139.5711888,0.313808296,0.164753633,0.012246943,0.066241038
STK11IP,193.5352837,-0.003065082,0.107151265,0.945170349,0.977077428
OBSL1,9.357379966,0.108731587,0.23164814,0.100384632,0.283945643
TMEM198,9.864545611,-0.017851703,0.186231543,0.796478159,0.90679941
CHPF,1070.77011,-0.010388538,0.108239073,0.976614443,0.990444258
ASIC4,0.661089177,-0.002957777,0.199540967,0.802292598,NA
GMPPA,350.2003243,0.426139177,0.110874898,1.98E-05,0.000371641
SPEGNB,1.530165587,-0.005814143,0.19856595,0.823214674,NA
SPEG,625.9998236,-0.124316865,0.181916505,0.249687905,0.494076069
DES,2.004766963,-0.000383312,0.197348988,0.977823886,NA
DNPEP,226.2499374,0.419901075,0.15617748,0.001060937,0.009929945
PTPRN,402.6971806,0.36063178,0.16384586,0.0049309,0.033286358
DNAJB2,547.6343661,0.099998206,0.086994498,0.201264409,0.435655648
LOC119056902,9.751976785,-0.059285661,0.198746306,0.378500528,0.625231958
LOC119056884,705.3392922,-0.460287583,0.098963584,4.89E-07,1.50E-05
STK16,622.41302,0.192492331,0.069143191,0.002912764,0.022105695
GLB1L,351.2864426,-0.049327379,0.088622542,0.510438809,0.731236453
ANKZF1,732.2008955,0.075289671,0.094244673,0.37035194,0.616470596
ATG9A,1414.838267,0.035057929,0.063945127,0.564680404,0.770163759
ABCB6,710.9480691,-0.058363456,0.077547065,0.417614411,0.659649206
ZFAND2B,466.661149,0.105011533,0.095009549,0.19360069,0.425175435
RETREG2,1484.846169,0.093934966,0.069586942,0.148915658,0.365078333
CNPPD1,673.0486218,-0.074569425,0.075978575,0.28748431,0.534869491
SLC23A3,20.3129847,-0.168194489,0.260845567,0.09488534,0.274387893
NHEJ1,42.17357234,0.071343008,0.17209714,0.48752898,0.71448871
CFAP65,8.120385492,0.047703289,0.193009453,0.491746195,0.717577375
CDK5R2,0.328738094,0.005394992,0.199944714,0.770084627,NA
WNT6,3.846290924,-0.03417269,0.200564641,0.363361968,0.609239884
LOC119056899,8.663199935,2.506182208,0.791058741,0.000141977,0.001898857
LOC119056909,0.358167451,0.009027757,0.200242504,0.597432431,NA
TTLL4,494.8628099,-0.056924469,0.090454686,0.510639666,0.731384175
STK36,645.3484965,0.11439499,0.077507036,0.108514276,0.29787797
RNF25,646.5286077,-0.02136234,0.077329061,0.724831664,0.871678541
LOC119039496,377.8543593,-0.123308379,0.104722294,0.162810387,0.384506903
ZNF142,573.6445925,-0.083602168,0.085539629,0.240202296,0.483438693
PLCD4,90.16222626,-0.104800769,0.133442043,0.30526252,0.554688072
LOC128628050,1.206795209,0.005806232,0.198588201,0.824541285,NA
CNOT9,689.1748363,0.015005288,0.070077797,0.815566103,0.91662485
LOC119039547,8.231184454,-0.084368114,0.214367081,0.183298267,0.411095739
USP37,1011.774194,0.041682991,0.098988375,0.572713728,0.775256301
VIL1,0.602768109,-0.010184738,0.200160337,0.780654816,NA
CTDSP1,567.86452,-0.045844193,0.088000929,0.557018649,0.764170969
SLC11A1,1.112509803,-0.013144013,0.199185474,0.581679942,NA
CATIP,5.331198418,0.07941916,0.211475709,0.214674836,0.452204267
LOC119039533,285.4101578,-0.001044914,0.110113,0.97928949,0.991263117
TMBIM1,6179.108853,-0.056844024,0.071744195,0.360500823,0.606753859
LOC119039537,380.0358199,0.044333209,0.077790959,0.583903694,0.781621612
AAMP,2680.066925,-0.115109856,0.063696645,0.055738454,0.194131186
GPBAR1,7.052779994,-0.085101581,0.215334856,0.174812002,0.399482714
ARPC2,13438.25286,-0.06942852,0.07517832,0.336090684,0.58596969
CXCR1,49.34779004,-0.276556707,0.438086868,0.026110355,0.116299875
LOC119039525,0.242154658,-0.003568692,0.200122147,0.769334916,NA
LOC119039529,484.1336578,-0.059700254,0.185542267,0.485442512,0.712757052
RUFY4,439.231543,0.012414452,0.175948941,0.829296169,0.923799513
TNS1,5969.999579,-0.216662651,0.13878523,0.060461727,0.204351898
LOC119039493,2.612405257,-0.018914628,0.196501603,0.649993947,NA
LOC119039542,0.376778169,-0.002065728,0.200048646,0.916615226,NA
IGFBP5,61577.06747,-0.127861597,0.162862648,0.240884197,0.484109186
IGFBP2,5.577226613,-0.072923975,0.214887404,0.107741722,0.296594708
RPL37A,6065.74956,0.014591393,0.065362814,0.813893676,0.916120093
SMARCAL1,621.5574521,0.079526249,0.072099958,0.248132616,0.49282746
XRCC5,994.743713,-0.021726863,0.066928549,0.730052043,0.875017573
TMEM169,71.43576961,-0.074251234,0.162056508,0.462111971,0.695195586
PECR,163.5646821,0.113396213,0.144622154,0.282742959,0.530067785
MREG,32.94665315,0.646998175,0.332953563,0.003019524,0.022730455
LOC128627015,0.287776763,-0.001091207,0.200086278,0.959388917,NA
FN1,6603.503132,-0.010274682,0.16827298,0.906074965,0.958418206
ATIC,1246.898404,-0.082401418,0.084843127,0.253586735,0.497293011
LOC128628364,5.507252594,-0.007723371,0.189806635,0.903327965,0.957364016
ABCA12,243.2315369,0.144683858,0.103626624,0.107119289,0.295562172
BARD1,238.3840068,-0.244516217,0.178907657,0.046981024,0.173381284
SPAG16,29.02198459,0.149675188,0.224975565,0.154144137,0.372084057
IKZF2,779.333953,0.025010836,0.10715943,0.722966588,0.870845058
ERBB4,5814.691859,0.160892062,0.116051394,0.089019974,0.262827565
LOC128628494,3.383280812,-0.022494995,0.199155718,0.505827126,NA
CPS1,1.820035168,0.014366698,0.198360803,0.656191228,NA
LOC128628506,0.893981514,0.002877023,0.19874733,0.915444608,NA
LANCL1,1539.670021,-0.096140797,0.055228852,0.068985506,0.223181385
MYL1,1.051749176,-0.019049905,0.200170152,0.393175334,NA
ACADL,353.6716529,-0.172982009,0.126003115,0.086098187,0.257399362
KANSL1L,1168.867504,0.103470302,0.107088791,0.249688994,0.494076069
RPE,1099.977012,0.053537816,0.08508108,0.472988284,0.704017214
UNC80,1.200057005,-0.005160339,0.198790469,0.821135112,NA
MAP2,65.81755216,0.249476301,0.248280226,0.060812356,0.20516506
LOC119064373,2.434076618,-0.065457591,0.211677695,0.112782009,NA
LOC119064309,0.386179778,0.00255377,0.199827654,0.967746508,NA
PTH2R,6.433421291,-0.108635704,0.229591364,0.109605982,0.299938402
PIKFYVE,987.3388262,0.10895671,0.090971099,0.163914336,0.385919527
IDH1,2626.936896,-0.050545289,0.124462622,0.58259373,0.781402467
CUNH2orf80,0.630565568,0.009505402,0.199706621,0.61903842,NA
PLEKHM3,285.5660271,0.123978178,0.135159401,0.233607915,0.475929221
LOC119064340,5.675903067,0.012231878,0.191421633,0.832261004,0.925686424
FZD5,493.5789865,0.084017344,0.141384477,0.384366309,0.630264729
CCNYL1,3680.062785,0.093391931,0.09191484,0.252291163,0.496274792
LOC119064400,131.8006928,0.005468548,0.137665166,0.951627015,0.979508247
LOC119064372,816.1483483,0.059888637,0.128955025,0.48092854,0.709390107
LOC128626294,2.151502752,-0.024824203,0.199788439,0.445145488,NA
METTL21A,713.4382718,0.060048065,0.074017502,0.374489005,0.621077399
CREB1,932.8734622,-0.069257952,0.079487683,0.368658235,0.614608349
KLF7,1208.662623,-0.354173612,0.100577841,9.39E-05,0.001360887
LOC119064387,0.187008491,-0.00067307,0.200103429,0.973573044,NA
FASTKD2,593.560885,0.148336729,0.071116849,0.02776549,0.121112891
MDH1B,18.38406556,1.006484283,0.453650729,0.00109307,0.01017293
ADAM23,30.8119391,-0.061673307,0.178904742,0.493087883,0.71890436
ZDBF2,666.5735797,-0.02894845,0.153114178,0.819312351,0.918557842
CMKLR2,247.2234879,0.05258094,0.171463107,0.602800047,0.79386708
EEF1B2,6879.067819,0.058798563,0.082767588,0.434194799,0.67352398
LOC119064398,13.87872396,-0.070448343,0.191381444,0.407808479,0.650806323
LOC119064397,10.85736221,-0.02282874,0.186388465,0.711175481,0.863002374
NDUFS1,2260.992933,-0.052156577,0.04664855,0.247801135,0.492460382
LOC119064381,20.26676238,-0.055140272,0.18494674,0.505281028,0.727494396
LOC119064321,63.1209386,0.135471046,0.16522079,0.22000497,0.459036339
INO80D,2111.062148,0.329936289,0.144136292,0.004766677,0.032455908
LOC128627026,0.22508616,0.006558959,0.200152933,0.728429672,NA
NRP2,1556.95319,0.249631998,0.180978996,0.046416832,0.171949087
PARD3B,857.8600167,0.47336311,0.126424874,2.43E-05,0.000442905
LOC128626133,0.38707116,-0.00895659,0.200318536,0.397226634,NA
CD28,0.164263326,-0.000391577,0.200105889,0.975009331,NA
RAPH1,1934.569618,-0.012815102,0.102363606,0.883384842,0.948811364
ABI2,1417.250983,0.051678692,0.067769353,0.418073078,0.660081342
LOC119064359,754.3626423,0.085150151,0.082182397,0.24853388,0.492892958
NBEAL1,2662.117159,0.194349417,0.149210536,0.076674788,0.238073625
