Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128626932,2.26574026,0.000364895,0.037800101,0.665071608,NA
LOC119041959,708.757245,-0.004721805,0.03817399,0.043723076,0.708373678
LOC119041957,591.4238517,-0.004118487,0.038085085,0.045491352,0.713562538
LOC119041976,1024.710507,-0.000727543,0.037752537,0.762630436,0.983908136
LOC119041968,339.5239464,-0.003082416,0.037788693,0.428887141,0.957732481
LOC119041970,5.072159503,0.001485877,0.037823626,0.225970791,NA
SP140,74.65192724,-0.003760551,0.037828292,0.556348564,0.96816153
SP140L,262.8631068,-0.007935138,0.038523887,0.195276604,0.887562419
SP110,667.8758596,-0.010048738,0.039296777,0.098285026,0.806898899
SLC16A14,10.80002327,-0.003802172,0.037968516,0.220965182,NA
FBXO36,18.08688174,-0.010208896,0.039720904,0.005131427,NA
LOC128627282,2.865580606,-0.001383257,0.037820565,0.245125757,NA
TRIP12,10811.3208,-0.017164355,0.036437467,0.330735205,0.934142661
DNER,290.8509779,-0.001916838,0.037225132,0.77705729,0.98499381
PID1,38.15098996,0.002707205,0.037733487,0.490538413,NA
SPHKAP,8.807430299,0.001078434,0.037779209,0.64808389,NA
DAW1,8.926779882,0.001363603,0.037748938,0.602763379,NA
CCL20,0.737809741,0.000586932,0.037803806,0.40818912,NA
LOC128627384,1.023863809,0.00072482,0.037805959,0.331009622,NA
SLC19A3,82.24388067,-0.007258283,0.038304292,0.254294392,0.910166533
AGFG1,2349.368074,-0.009992137,0.034594321,0.579669484,0.97206238
TM4SF20,5.30078817,0.002466645,0.037858087,0.283968751,NA
MFF,1273.04452,-0.022434829,0.040929168,0.239888877,0.904644739
LOC119044744,25.76317766,-0.001823314,0.037660948,0.612847542,NA
COL4A3,291.5703328,0.002616139,0.037573922,0.6718181,0.980092875
COL4A4,17.19054526,-0.002796977,0.037804908,0.458725956,NA
RHBDD1,388.1470493,0.004728,0.03630233,0.667683963,0.979594086
LOC119044740,8.167652199,-0.002261699,0.037796613,0.416747006,NA
LOC119044738,23.86700499,0.003942805,0.037863149,0.353362896,NA
IRS1,9830.384219,0.003222333,0.033862788,0.833614596,0.991060372
