Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128626932,2.26574026,0.289824438,0.631451693,0.065405665,0.116268801
LOC119041959,708.757245,5.222061832,0.595153533,6.88E-20,9.91E-19
LOC119041957,591.4238517,5.630985423,0.624963239,9.42E-21,1.45E-19
LOC119041976,1024.710507,6.630883092,0.6745923,2.28E-24,4.62E-23
LOC119041968,339.5239464,1.642768275,0.352445713,3.08E-07,1.37E-06
LOC119041970,5.072159503,-0.185395589,0.515499568,0.411026267,0.531539382
SP140,74.65192724,0.117602741,0.280314079,0.622202677,0.72630852
SP140L,262.8631068,0.095827418,0.212719092,0.629000541,0.731669503
SP110,667.8758596,0.449874168,0.22398702,0.026658486,0.052833345
SLC16A14,10.80002327,1.107603126,0.55717163,0.00627543,0.014462389
FBXO36,18.08688174,-0.451465796,0.328760302,0.091073844,0.15452969
LOC128627282,2.865580606,-0.616125222,0.861519721,0.060853834,0.109200451
TRIP12,10811.3208,0.277522984,0.064503418,2.15E-05,7.44E-05
DNER,290.8509779,0.89647717,0.20492719,3.24E-06,1.26E-05
PID1,38.15098996,1.632448284,0.305237373,1.03E-08,5.46E-08
SPHKAP,8.807430299,-0.114303671,0.44372717,0.656352349,0.754617769
DAW1,8.926779882,-0.228830313,0.425645634,0.410879245,0.53138761
CCL20,0.737809741,0.182706289,0.568142295,0.159801709,0.247986783
LOC128627384,1.023863809,0.206562716,0.555605807,0.28030326,0.392674424
SLC19A3,82.24388067,-0.299650687,0.21039999,0.120683835,0.196204319
AGFG1,2349.368074,0.492070937,0.068880135,2.83E-13,2.39E-12
TM4SF20,5.30078817,-0.337197834,0.507061565,0.240516253,0.346361964
MFF,1273.04452,0.383806084,0.072823681,1.03E-07,4.86E-07
LOC119044744,25.76317766,-0.133550243,0.302719674,0.598148498,0.705678156
COL4A3,291.5703328,-0.299097024,0.254784223,0.180344311,0.274166201
COL4A4,17.19054526,0.612641002,0.353058619,0.030967772,0.060234351
RHBDD1,388.1470493,1.611838031,0.103101693,5.41E-56,5.77E-54
LOC119044740,8.167652199,1.088679759,0.498089466,0.004346336,0.010359047
LOC119044738,23.86700499,-0.177433689,0.286596408,0.465482999,0.583678151
IRS1,9830.384219,0.539921173,0.074159531,1.87E-13,1.61E-12
LOC119044736,1.015084173,-0.078963681,0.534916001,0.696455808,0.78707961
NYAP2,9.023868286,0.095483859,0.377294896,0.72299585,0.806499823
DOCK10,0.210232555,0.012676743,0.530596696,0.998322705,NA
LOC128627588,33.65861728,-0.480367847,0.288587302,0.051333475,0.094153413
CUL3,2582.824187,0.593426995,0.058116172,5.61E-25,1.19E-23
SERPINE2,256.6960379,-1.100822745,0.147048256,1.37E-14,1.30E-13
MRPL44,282.3260816,0.362650156,0.103978781,0.000372043,0.0010763
WDFY1,2576.575341,0.718070723,0.064150236,1.45E-29,4.27E-28
AP1S3,649.0633881,0.939252767,0.086289927,3.21E-28,8.58E-27
SCG2,0.675524702,-0.180967305,0.570457592,0.104499757,0.173852508
LOC119061933,1194.066646,0.350807353,0.194734333,0.052682622,0.096312434
KCNE4,0.166168454,0.040110602,0.533427099,0.841549644,NA
