Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128626932,2.26574026,0.481087031,0.875963084,0.044599842,0.076552095
LOC119041959,708.757245,6.429600029,0.59423848,1.59E-28,3.15E-27
LOC119041957,591.4238517,7.100584254,0.658072538,4.34E-28,8.34E-27
LOC119041976,1024.710507,6.938744892,0.652029366,7.27E-28,1.37E-26
LOC119041968,339.5239464,1.962388886,0.345435987,1.35E-09,6.36E-09
LOC119041970,5.072159503,-0.260312478,0.619362301,0.363529636,0.461980207
SP140,74.65192724,0.335183612,0.315363542,0.220640869,0.306268056
SP140L,262.8631068,0.494194457,0.228974063,0.019927656,0.037095884
SP110,667.8758596,1.170692128,0.2335451,1.15E-07,4.49E-07
SLC16A14,10.80002327,0.47020116,0.462431309,0.173429171,0.250486056
FBXO36,18.08688174,-0.645845009,0.33779017,0.025828332,0.046926315
LOC128627282,2.865580606,-0.372731147,0.632755684,0.243598016,0.33284793
TRIP12,10811.3208,0.166465021,0.064597218,0.009814109,0.01943422
DNER,290.8509779,0.418639393,0.202705095,0.028419005,0.051109706
PID1,38.15098996,1.398940724,0.298471384,4.21E-07,1.54E-06
SPHKAP,8.807430299,-1.253750684,0.940240423,0.021616755,0.039914024
DAW1,8.926779882,-1.643584113,0.719160035,0.002595726,0.005715956
CCL20,0.737809741,0.246114525,0.671982043,0.260009036,0.351544932
LOC128627384,1.023863809,-0.381894786,0.74726376,0.096459997,0.151488192
SLC19A3,82.24388067,-0.266081338,0.213384656,0.185462899,0.264972959
AGFG1,2349.368074,0.423003957,0.069468463,8.97E-10,4.29E-09
TM4SF20,5.30078817,-0.082734511,0.461854886,0.789397333,0.843845025
MFF,1273.04452,0.336758,0.073657274,8.20E-06,2.57E-05
LOC119044744,25.76317766,-0.414184641,0.336852469,0.149729375,0.221204872
COL4A3,291.5703328,-0.946751353,0.281542689,0.000243798,0.00062721
COL4A4,17.19054526,1.384352669,0.346031961,1.14E-05,3.50E-05
RHBDD1,388.1470493,1.636027354,0.10380429,5.94E-57,4.77E-55
LOC119044740,8.167652199,0.348757677,0.46681891,0.29814661,0.393719662
LOC119044738,23.86700499,0.426896779,0.303827698,0.111668401,0.171951103
IRS1,9830.384219,0.319648646,0.074142193,1.02E-05,3.15E-05
LOC119044736,1.015084173,-0.207762681,0.659733997,0.177924237,0.255936622
NYAP2,9.023868286,-0.901456892,0.619753694,0.033926042,0.059954525
DOCK10,0.210232555,0.041367241,0.630465441,0.86325495,NA
LOC128627588,33.65861728,-0.42176889,0.295450928,0.105322796,0.163274484
CUL3,2582.824187,0.587808172,0.058592288,4.55E-24,6.60E-23
SERPINE2,256.6960379,-1.268833492,0.15101401,8.16E-18,7.69E-17
MRPL44,282.3260816,0.350102768,0.106338121,0.000827927,0.001969348
WDFY1,2576.575341,0.752824699,0.064579187,9.96E-32,2.41E-30
AP1S3,649.0633881,1.401489287,0.088054904,6.17E-58,5.34E-56
SCG2,0.675524702,-0.123692592,0.624984056,0.419645474,0.51879439
LOC119061933,1194.066646,0.547376845,0.198838853,0.003469738,0.007478804
KCNE4,0.166168454,0.050220228,0.633714416,0.908201049,NA
ACSL3,1303.19525,0.293252257,0.076032155,0.000102146,0.000277195
LOC119050975,2.224123953,-0.02282653,0.534614545,0.925748542,0.949762977
MOGAT1,44.11346685,-0.797869539,0.269410162,0.001161787,0.002702489
FARSB,1740.508246,1.369262078,0.086246684,1.80E-57,1.51E-55
SGPP2,3.005086227,5.946766058,1.469682287,2.96E-06,9.85E-06
LOC128626908,0.53302847,0.097357803,0.629145076,0.63397975,0.718339312
EPHA4,7301.211746,-0.38760898,0.065588119,2.88E-09,1.31E-08
SLC4A3,139.5711888,-0.255419034,0.171505648,0.121622915,0.185021325
STK11IP,193.5352837,-0.829855987,0.137350246,7.51E-10,3.63E-09
OBSL1,9.357379966,2.023853897,0.556179076,3.24E-05,9.44E-05
TMEM198,9.864545611,1.204886457,0.471265513,0.002128983,0.00474768
CHPF,1070.77011,-0.384110186,0.127992431,0.001791881,0.004052396
ASIC4,0.661089177,0.337718623,0.756815048,0.052370328,0.088265925
GMPPA,350.2003243,0.704529803,0.109722003,7.14E-11,3.78E-10
SPEGNB,1.530165587,0.300523771,0.639974728,0.291780203,0.386480417
