Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128626932,2.26574026,0.000213801,0.028184829,0.648159752,NA
LOC119041959,708.757245,-0.00111904,0.02818616,0.418569245,0.998952344
LOC119041957,591.4238517,-0.000805746,0.028176992,0.522738735,0.998952344
LOC119041976,1024.710507,-4.88E-05,0.028160388,0.998422536,0.999669147
LOC119041968,339.5239464,-0.002114058,0.028221578,0.332943864,0.998952344
LOC119041970,5.072159503,0.00022483,0.028180236,0.681172893,NA
SP140,74.65192724,-0.001175309,0.028116957,0.834041305,0.998952344
SP140L,262.8631068,-0.005997917,0.028929625,0.084507747,0.937910247
SP110,667.8758596,-0.001716821,0.028061777,0.606757367,0.998952344
SLC16A14,10.80002327,4.72E-06,0.028132685,0.994986561,NA
FBXO36,18.08688174,-0.004781602,0.028721604,0.045179032,NA
LOC128627282,2.865580606,-0.000138567,0.028176088,0.8538969,NA
TRIP12,10811.3208,0.00296463,0.026046123,0.803330193,0.998952344
DNER,290.8509779,-0.003922508,0.028316751,0.301179436,0.998952344
PID1,38.15098996,0.003429255,0.028402995,0.101336394,0.968426036
SPHKAP,8.807430299,0.001067949,0.028196147,0.299539019,NA
DAW1,8.926779882,-0.000666952,0.028163177,0.665893913,NA
CCL20,0.737809741,0.000182435,0.028184658,0.689539112,NA
LOC128627384,1.023863809,0.000209783,0.028184693,0.635321597,NA
SLC19A3,82.24388067,-0.003351507,0.028265338,0.324368834,0.998952344
AGFG1,2349.368074,-0.006527541,0.027050619,0.513164112,0.998952344
TM4SF20,5.30078817,-0.000858418,0.028183775,0.42503192,NA
MFF,1273.04452,-0.008447711,0.027939091,0.331452268,0.998952344
LOC119044744,25.76317766,-0.001668776,0.028175368,0.437863157,NA
COL4A3,291.5703328,0.002371579,0.028182887,0.397926695,0.998952344
COL4A4,17.19054526,-0.003854197,0.028526149,0.028720816,NA
RHBDD1,388.1470493,-0.000781958,0.027403922,0.940180858,0.998952344
LOC119044740,8.167652199,-0.001637178,0.028214016,0.283841316,NA
LOC119044738,23.86700499,0.002061697,0.028198229,0.380375489,NA
IRS1,9830.384219,0.001126641,0.026393263,0.9043955,0.998952344
LOC119044736,1.015084173,0.000241742,0.028183568,0.603935222,NA
NYAP2,9.023868286,0.001900458,0.028235473,0.225139907,NA
DOCK10,0.210232555,2.71E-05,0.028184467,0.997830732,NA
LOC128627588,33.65861728,-0.001120651,0.028093634,0.611505617,NA
CUL3,2582.824187,-0.018746831,0.032485464,0.235429546,0.998952344
SERPINE2,256.6960379,-0.006159714,0.028574483,0.253806871,0.998952344
MRPL44,282.3260816,-0.00068994,0.027223152,0.83612887,0.998952344
WDFY1,2576.575341,-0.011417898,0.028654443,0.300328395,0.998952344
AP1S3,649.0633881,-0.003597603,0.027086545,0.673144095,0.998952344
SCG2,0.675524702,2.63E-05,0.028182673,0.996319711,NA
LOC119061933,1194.066646,0.000293608,0.027917716,0.939845206,0.998952344
KCNE4,0.166168454,0.000115321,0.028184909,0.839662998,NA
ACSL3,1303.19525,0.195322507,0.083604739,0.000773141,0.109432938
LOC119050975,2.224123953,-0.000514535,0.028182007,0.487405838,NA
MOGAT1,44.11346685,-0.002766191,0.028222725,0.285462919,0.998952344
FARSB,1740.508246,0.004886396,0.027305557,0.65168857,0.998952344
SGPP2,3.005086227,-7.01E-05,0.028184546,0.991237421,NA
LOC128626908,0.53302847,0.000228566,0.028185448,0.552049832,NA
EPHA4,7301.211746,0.031761912,0.049798095,0.036455446,0.80940275
SLC4A3,139.5711888,-0.000124298,0.02777879,0.979182744,0.998952344
STK11IP,193.5352837,0.01397031,0.032674127,0.038313722,0.811886021
OBSL1,9.357379966,0.000419695,0.028173537,0.63420195,NA
TMEM198,9.864545611,0.004209002,0.028614657,0.007232015,NA
CHPF,1070.77011,0.005134432,0.028202722,0.386712827,0.998952344
ASIC4,0.661089177,-0.000276047,0.028185744,0.48239564,NA
GMPPA,350.2003243,0.006503122,0.028381129,0.337925375,0.998952344
SPEGNB,1.530165587,0.000642036,0.028188617,0.323229078,NA
SPEG,625.9998236,0.002550369,0.028178189,0.417647773,0.998952344
DES,2.004766963,0.000372487,0.028182508,0.513161271,NA
DNPEP,226.2499374,-0.003543315,0.028037165,0.532782144,0.998952344
PTPRN,402.6971806,0.000153758,0.027739738,0.910719228,0.998952344
DNAJB2,547.6343661,0.006975141,0.028186636,0.254816675,0.998952344
LOC119056902,9.751976785,-0.00127433,0.028184308,0.416942937,NA
LOC119056884,705.3392922,-0.000516772,0.026906174,0.985425897,0.998952344
STK16,622.41302,0.000935062,0.026221428,0.902630457,0.998952344
GLB1L,351.2864426,-0.001184925,0.027199968,0.859372706,0.998952344
ANKZF1,732.2008955,-0.00444522,0.027699663,0.475350499,0.998952344
ATG9A,1414.838267,0.021269121,0.036292025,0.102807118,0.96979989
ABCB6,710.9480691,0.005731851,0.02728959,0.453711435,0.998952344
ZFAND2B,466.661149,0.001033122,0.027249297,0.928176947,0.998952344
RETREG2,1484.846169,-0.007255785,0.027477449,0.570067897,0.998952344
CNPPD1,673.0486218,0.027822741,0.047229539,0.025030238,0.746248908
SLC23A3,20.3129847,0.000572547,0.028111791,0.791180558,NA
NHEJ1,42.17357234,-0.00271765,0.028185113,0.193351938,0.998952344
CFAP65,8.120385492,-0.000753655,0.028157594,0.615831543,NA
CDK5R2,0.328738094,0.000104508,0.028184317,0.803497764,NA
WNT6,3.846290924,0.000136791,0.02817511,0.854934115,NA
LOC119056899,8.663199935,0.000245322,0.028166451,0.808309519,NA
LOC119056909,0.358167451,-2.96E-05,0.028184691,0.99619237,NA
TTLL4,494.8628099,-0.002521828,0.027134174,0.773491849,0.998952344
STK36,645.3484965,0.01068467,0.029409887,0.233250448,0.998952344
RNF25,646.5286077,0.007503463,0.028005248,0.433842727,0.998952344
LOC119039496,377.8543593,0.007427729,0.028594034,0.325930965,0.998952344
ZNF142,573.6445925,0.020644777,0.037687944,0.057586448,0.904609252
PLCD4,90.16222626,-0.005259901,0.028484674,0.271066333,0.998952344
LOC128628050,1.206795209,-0.000469935,0.028184935,0.39408612,NA
CNOT9,689.1748363,0.002869366,0.026329918,0.768415646,0.998952344
LOC119039547,8.231184454,0.000540068,0.028160603,0.658960749,NA
USP37,1011.774194,-0.001071078,0.027359155,0.787059695,0.998952344
VIL1,0.602768109,1.36E-05,0.028182537,0.989641947,NA
CTDSP1,567.86452,0.005403531,0.027709383,0.415154534,0.998952344
SLC11A1,1.112509803,0.000155675,0.028180173,0.812109833,NA
CATIP,5.331198418,-0.000343841,0.028167724,0.747276748,NA
LOC119039533,285.4101578,0.004537035,0.028048284,0.554412579,0.998952344
TMBIM1,6179.108853,0.007907451,0.02783181,0.444732838,0.998952344
LOC119039537,380.0358199,0.001881354,0.026805221,0.825749425,0.998952344
AAMP,2680.066925,0.009984291,0.027998399,0.35224729,0.998952344
GPBAR1,7.052779994,0.000841599,0.02817539,0.508779661,NA
ARPC2,13438.25286,-3.33E-05,0.026585181,0.995778077,0.999669147
CXCR1,49.34779004,-0.000709781,0.028140561,0.735422786,0.998952344
LOC119039525,0.242154658,-6.27E-05,0.028184775,0.859216905,NA
LOC119039529,484.1336578,6.41E-05,0.02810431,0.981054796,0.998952344
RUFY4,439.231543,-0.000363443,0.028106428,0.864297998,0.998952344
TNS1,5969.999579,-0.000881688,0.027687473,0.8648262,0.998952344
LOC119039493,2.612405257,0.000622256,0.028180458,0.503898837,NA
