"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC128626932",0.211241345053146,-8.62896419132677e-07,0.0195095404716088,0.989898660929838,NA
"LOC119041959",10.5013499976702,0.000384140229228095,0.0195042789022625,0.556221776176427,NA
"LOC119041957",13.3689812793219,-0.000677634422830138,0.0195244899470835,0.0442374395251841,NA
"LOC119041976",21.9012807202576,-0.00107701487008128,0.0195432039840568,0.0994952751318096,NA
"LOC119041968",74.923640476577,0.00151138863468213,0.0195322922790921,0.335467857301162,0.999187054133508
"SP140",35.6408951650419,0.00235831377145648,0.0196656964085315,0.111372226582684,0.865507413237428
"SP110",444.507369499856,-0.000695703420462298,0.0191025844451614,0.846356751568971,0.999187054133508
"LOC119041977",0.563868472699563,0.000198098995908015,0.019510559928827,0.293613154714102,NA
"SLC16A14",15.8544360584436,-0.000564909282102378,0.0194973820660267,0.911712245631792,NA
"FBXO36",133.133671869654,-0.0125739816602693,0.0260507288157077,2.97035096326117e-05,0.0336648776899791
"TRIP12",11195.4501234621,0.00807115509056252,0.0198521894792015,0.287849073544578,0.998779404364112
"DNER",197.425475813698,0.00482012670177515,0.0201746673611858,0.0971072890802582,0.837231378259737
"PID1",23.9832419791102,-0.000364650153967228,0.0194851436920281,0.738170843146945,NA
"SPHKAP",7.67053077188669,0.000422352496556761,0.0195077503053245,0.456395401260129,NA
"DAW1",10.5562709794758,-0.000836159189810153,0.0195191471685923,0.3015047916605,NA
"CCL20",1.34190910872017,-2.52684619464176e-05,0.0195079424976385,0.91453978371504,NA
"LOC128627384",3.26833306226942,-0.000162425731575611,0.0195069354470473,0.660770158149719,NA
"SLC19A3",234.962152494244,0.000344840382055012,0.0192894602327071,0.905672186127634,0.999187054133508
"AGFG1",2462.00540493374,-0.00459723159230018,0.0182050818820994,0.551155116836864,0.999187054133508
"TM4SF20",16.2279118776409,-0.00187739744728456,0.0196213481689185,0.0481227431616474,NA
"MFF",1966.26918556975,0.0052468486200831,0.0190789445369861,0.435046832339989,0.999187054133508
"LOC119044744",65.2154700951495,-0.000983998525336136,0.0194562612748866,0.59514145730071,0.999187054133508
"COL4A3",43.7767409076831,0.00295489820538397,0.0197875583374398,0.0467223603351351,0.698160738973994
"COL4A4",25.9710580638754,-0.000195237987195974,0.0194738725519637,0.871245609464837,NA
"RHBDD1",439.525183735018,0.0050121504922041,0.0197913408789248,0.29755102037874,0.999187054133508
"LOC119044738",211.000921524606,0.00277596770962801,0.019592423015475,0.322386733208166,0.999187054133508
"IRS1",11334.6898186321,0.0076299823564426,0.0199930193992089,0.279927895415839,0.989930593795919
