"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC128626932",0.211241345053146,1.36070245452612e-07,0.00144269499316773,0.941788876654303,0.999417073679049
"LOC119041959",10.5013499976702,7.65103889144392e-08,0.00144269006875477,0.959703227528563,0.999417073679049
"LOC119041957",13.3689812793219,-1.23363513008786e-06,0.00144269393767389,0.208613912975788,0.999417073679049
"LOC119041976",21.9012807202576,-4.17376198559036e-06,0.00144269187758829,0.056074583717993,0.999417073679049
"LOC119041968",74.923640476577,-9.39425282839673e-06,0.00144268097977623,0.0392826833143345,0.999417073679049
"SP140",35.6408951650419,-3.24485283759205e-06,0.00144267516526302,0.411907727135841,0.999417073679049
"SP110",444.507369499856,1.29503658869227e-05,0.00144253524889402,0.268979488037917,0.999417073679049
"LOC119041977",0.563868472699563,-4.32141958699256e-07,0.00144269494813679,0.250899906330206,0.999417073679049
"SLC16A14",15.8544360584436,-1.33041560707135e-06,0.00144268511532732,0.618878889576424,0.999417073679049
"FBXO36",133.133671869654,-2.15360794941521e-05,0.00144270762876102,0.00210864159375406,0.999417073679049
"TRIP12",11195.4501234621,-3.01424822792843e-06,0.00144195121964233,0.895460877965758,0.999417073679049
"DNER",197.425475813698,9.90480546694595e-06,0.0014426239948376,0.232463467884785,0.999417073679049
"PID1",23.9832419791102,-4.12089329412242e-06,0.00144268209660556,0.222441452798635,0.999417073679049
"SPHKAP",7.67053077188669,-9.56600679437826e-07,0.00144269158317026,0.547353888970567,0.999417073679049
"DAW1",10.5562709794758,2.6265266060983e-07,0.00144268874529594,0.902150850308012,0.999417073679049
"CCL20",1.34190910872017,-6.70373339940719e-07,0.00144269431366852,0.362009146787928,0.999417073679049
"LOC128627384",3.26833306226942,9.72465636589458e-07,0.00144269380480277,0.329299646472983,0.999417073679049
"SLC19A3",234.962152494244,-1.09075267881122e-05,0.00144262370021496,0.179496880705759,0.999417073679049
"AGFG1",2462.00540493374,9.68035245830406e-06,0.00144182072858376,0.702225281578426,0.999417073679049
"TM4SF20",16.2279118776409,-2.43588277847913e-06,0.00144268623358259,0.355070576580658,0.999417073679049
"MFF",1966.26918556975,3.74752107542505e-06,0.00144210928478497,0.866280354222561,0.999417073679049
"LOC119044744",65.2154700951495,-3.99273859428154e-08,0.00144266046107918,0.964547455870029,0.999417073679049
"COL4A3",43.7767409076831,4.8823609517105e-06,0.00144267579430799,0.23494907994676,0.999417073679049
"COL4A4",25.9710580638754,-4.48724174207552e-06,0.00144268335053818,0.175456271580547,0.999417073679049
"RHBDD1",439.525183735018,-2.49965727581437e-05,0.00144255411040579,0.0633522515418579,0.999417073679049
"LOC119044738",211.000921524606,-1.56144137487376e-06,0.00144260846789485,0.841517676810322,0.999417073679049
"IRS1",11334.6898186321,-1.60303252663775e-06,0.00144208490597838,0.932965991195691,0.999417073679049
"LOC119044736",2.36629361550563,-4.07777556205453e-07,0.00144269380597004,0.663362103919704,0.999417073679049
"LOC119044754",0.233208385188907,7.80195715140265e-08,0.00144269496683925,0.990533391030188,0.999417073679049
"NYAP2",180.022783463704,-1.57837693805216e-06,0.00144262037005066,0.828735488420469,0.999417073679049
"DOCK10",0.339239795058871,3.64925102293108e-07,0.00144269496921039,0.511256429171441,0.999417073679049
"LOC128627588",30.1763337201257,-8.57238530617699e-07,0.00144267911613213,0.795263677224495,0.999417073679049
"CUL3",2598.56983100558,2.3799212120136e-05,0.00144183362459587,0.380446317490239,0.999417073679049
"SERPINE2",300.059452650463,1.17316190840933e-06,0.0014425537823354,0.915895722583848,0.999417073679049
"MRPL44",259.295902775652,8.69924942126301e-06,0.00144261472368031,0.29047175629911,0.999417073679049
"WDFY1",1942.85320662565,2.21809948547696e-05,0.00144188716534096,0.378302033534588,0.999417073679049
"AP1S3",822.082315574098,-1.13028351742409e-05,0.00144238266143915,0.466400780740134,0.999417073679049
"SCG2",0.596099382662621,-1.43847209168799e-07,0.00144269470166321,0.640912105923671,0.999417073679049
"LOC119061933",1146.71283826614,1.05455171633484e-06,0.00144267062799976,0.804637514439207,0.999417073679049
"KCNE4",0.0868655763035126,-4.98103982377701e-09,0.00144269503685351,0.994581577586708,0.999417073679049
"ACSL3",1128.46056649345,1.24857153790051e-05,0.00144210306060632,0.554814584387981,0.999417073679049
"MOGAT1",42.5770745395657,4.24433186090801e-06,0.0014426762383933,0.284449190336585,0.999417073679049
"FARSB",1784.20191867002,1.62266850759722e-05,0.00144211493027921,0.446973480609683,0.999417073679049
"SGPP2",2.73591257459058,-1.22257625912725e-07,0.0014426933375814,0.915602785406363,0.999417073679049
"LOC128626908",0.697086960411415,2.5382168288553e-07,0.0014426948761945,0.697214780541107,0.999417073679049
"EPHA4",7525.55582326858,4.942203702494e-06,0.00144188547803824,0.893441268213686,0.999417073679049
"LOC128626614",0.161676851174357,-9.56508513440723e-08,0.00144269503933153,0.935741297574985,0.999417073679049
"LOC119047933",0.228120801642128,7.51869649884441e-08,0.00144269495222699,0.987611336579461,0.999417073679049
"SLC4A3",108.708991855508,-2.54953722821202e-06,0.00144263908285179,0.690912394606613,0.999417073679049
"STK11IP",221.848037565466,-4.16396950326062e-06,0.00144260677157735,0.605873226560792,0.999417073679049
"INHA",0.106735542353944,-7.49734560777404e-09,0.00144269503675389,0.994571726099899,0.999417073679049
"OBSL1",3.45326586579168,7.09572064219566e-07,0.00144269306532574,0.559173089506139,0.999417073679049
"TMEM198",7.29874648140903,1.61611491091993e-06,0.00144269102987695,0.367661779271597,0.999417073679049
"CHPF",862.244563187858,9.13890013838894e-06,0.00144258965907524,0.326973950563601,0.999417073679049
"ASIC4",0.434934344433796,-1.82730289932594e-07,0.00144269499539183,0.575600240427759,0.999417073679049
"GMPPA",321.59007131063,-3.99407170417546e-06,0.00144257073725862,0.676176096785115,0.999417073679049
"SPEGNB",0.826847075579252,3.30096439234546e-07,0.00144269446253066,0.699924080458874,0.999417073679049
"SPEG",698.292639244203,-4.4836434645393e-06,0.00144253486490006,0.679343068194521,0.999417073679049
"DES",1.54187056342811,1.90976014779392e-07,0.00144269462856175,0.664921139582854,0.999417073679049
"DNPEP",172.889414232281,-2.31511159295263e-06,0.00144261821748793,0.757508253504969,0.999417073679049
"PTPRN",322.524758546667,1.6020250583615e-06,0.0014425449552439,0.876605747065974,0.999417073679049
"DNAJB2",599.516075891928,5.08745888687513e-07,0.0014425243965339,0.96411992365043,0.999417073679049
"LOC119056902",3.63287062029218,-3.01011608002307e-07,0.00144269266309937,0.803648203964959,0.999417073679049
"LOC119056884",798.431312436776,1.09674292145068e-05,0.00144253838858487,0.332857382357051,0.999417073679049
"STK16",450.603046176803,2.49266083866461e-06,0.00144255865893341,0.8411506775248,0.999417073679049
"GLB1L",360.141539527045,-1.41374326187767e-05,0.00144257806833932,0.176071534109229,0.999417073679049
"ANKZF1",553.102538798624,6.86567760938092e-06,0.00144245432931331,0.608488228454005,0.999417073679049
"ATG9A",957.912825457155,-2.11509653772172e-06,0.00144230797684638,0.910043198528951,0.999417073679049
"ABCB6",720.754652997697,2.88316813698408e-06,0.00144231600019656,0.862672103673699,0.999417073679049
"ZFAND2B",268.051736877952,3.85846963570296e-06,0.00144261223527623,0.595229412350972,0.999417073679049
"RETREG2",1083.65807543555,2.0599147727552e-05,0.00144240045259927,0.21633662538834,0.999417073679049
"CNPPD1",607.849058810952,-7.38750290126156e-06,0.00144249622992181,0.546649376666655,0.999417073679049
"SLC23A3",37.3308175178675,1.02937948772148e-06,0.00144267211138111,0.806401647546691,0.999417073679049
"NHEJ1",58.5498619802976,3.08786103889296e-06,0.00144266557611372,0.514874189813257,0.999417073679049
"IHH",0.0973533600316764,-1.68227967261822e-08,0.00144269503922923,0.850163826139104,0.999417073679049
