"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC128626932",0.211241345053146,1.85147779915675e-07,0.00144269498852375,0.875372250006476,NA
"LOC119041959",10.5013499976702,2.38911001468889e-06,0.00144269053744869,0.227093165987781,0.999872488939117
"LOC119041957",13.3689812793219,-7.38897651995584e-07,0.00144269362942592,0.464150733486857,0.999872488939117
"LOC119041976",21.9012807202576,-2.97833447642204e-06,0.00144269015025516,0.165125628883046,0.999872488939117
"LOC119041968",74.923640476577,1.29189501970143e-06,0.00144266380687192,0.796231170390846,0.999872488939117
"SP140",35.6408951650419,5.0022141824154e-06,0.00144267565421185,0.227865440454271,0.999872488939117
"SP110",444.507369499856,2.36694558691957e-06,0.00144251227382515,0.834584018162862,0.999872488939117
"LOC119041977",0.563868472699563,-1.31795014773297e-08,0.00144269473944993,0.813866692986996,NA
"SLC16A14",15.8544360584436,-1.98264767869691e-06,0.00144268578003596,0.423792126554376,0.999872488939117
"FBXO36",133.133671869654,-7.3365269008367e-06,0.00144263411214888,0.303071827029454,0.999872488939117
"TRIP12",11195.4501234621,5.31797609576725e-06,0.00144195551014555,0.820311342874101,0.999872488939117
"DNER",197.425475813698,2.13059657426544e-06,0.00144261018212538,0.804551715424395,0.999872488939117
"PID1",23.9832419791102,-1.2943444650473e-06,0.00144267894981058,0.64619525156557,0.999872488939117
"SPHKAP",7.67053077188669,3.61345441899474e-08,0.00144269118431449,0.986804763591849,0.999872488939117
"DAW1",10.5562709794758,1.48651304464434e-06,0.00144268884652324,0.491076606338766,0.999872488939117
"CCL20",1.34190910872017,2.07253834287549e-07,0.00144269403684964,0.864007202673557,0.999872488939117
"LOC128627384",3.26833306226942,-7.0357793551025e-07,0.00144269414700672,0.422798531636248,0.999872488939117
"SLC19A3",234.962152494244,-8.16341669099661e-06,0.00144261494151624,0.323941510354989,0.999872488939117
"AGFG1",2462.00540493374,-1.70639077908801e-05,0.001441866788111,0.47610087761671,0.999872488939117
"TM4SF20",16.2279118776409,-2.12741096221703e-06,0.00144268605628782,0.418567336989464,0.999872488939117
"MFF",1966.26918556975,3.76564045306402e-05,0.00144235222643307,0.0684341250034131,0.999872488939117
"LOC119044744",65.2154700951495,7.82501110898402e-07,0.00144266094033764,0.875622515017757,0.999872488939117
"COL4A3",43.7767409076831,-8.16535605574828e-07,0.0014426734860098,0.837433555486121,0.999872488939117
"COL4A4",25.9710580638754,1.05075568404001e-06,0.00144267861886726,0.764004070223171,0.999872488939117
"RHBDD1",439.525183735018,-5.04991641679159e-06,0.00144244841187109,0.707610966275142,0.999872488939117
"LOC119044738",211.000921524606,8.51290167752559e-06,0.001442619719201,0.294290923074483,0.999872488939117
"IRS1",11334.6898186321,8.13183759845562e-06,0.00144209649719959,0.686523157658778,0.999872488939117
"LOC119044736",2.36629361550563,-8.16477745669677e-09,0.00144269368574545,0.982423188604226,0.999872488939117
"LOC119044754",0.233208385188907,-4.39297122793293e-08,0.00144269503042704,0.894098464570394,NA
"NYAP2",180.022783463704,1.36987740738623e-05,0.00144265062533878,0.0659859108989605,0.999872488939117
"DOCK10",0.339239795058871,2.76666654488669e-07,0.00144269497094581,0.856580072561363,NA
"LOC128627588",30.1763337201257,3.31015474639013e-06,0.00144268009840505,0.349109809875159,0.999872488939117
"CUL3",2598.56983100558,-2.44616702154089e-05,0.00144185512167311,0.358446740243309,0.999872488939117
"SERPINE2",300.059452650463,-1.97059628893625e-05,0.00144262694209214,0.0460609090946189,0.999872488939117
"MRPL44",259.295902775652,-2.0920009068734e-06,0.00144260484964617,0.795375250235413,0.999872488939117
"WDFY1",1942.85320662565,4.16585005008577e-05,0.00144210844542551,0.100002687608482,0.999872488939117
"AP1S3",822.082315574098,-1.54726465826024e-06,0.00144236235279071,0.91941137182014,0.999872488939117
"SCG2",0.596099382662621,1.47410828332983e-07,0.00144269463356005,0.963320765093641,NA
"LOC119061933",1146.71283826614,2.15396419316255e-06,0.0014426712739002,0.604356377962403,0.999872488939117
"KCNE4",0.0868655763035126,-7.77006155063084e-08,0.0014426949804343,0.876162270521879,NA
"ACSL3",1128.46056649345,2.56455665675704e-05,0.00144219464701173,0.223368678772299,0.999872488939117
"MOGAT1",42.5770745395657,-6.92018623486343e-06,0.00144268427960661,0.0649316150107018,0.999872488939117
"FARSB",1784.20191867002,1.18134320920491e-06,0.00144207712802708,0.960459249112301,0.999872488939117
"SGPP2",2.73591257459058,8.71308933618347e-07,0.00144269319147849,0.469048245030846,0.999872488939117
"LOC128626908",0.697086960411415,2.6923077882004e-07,0.00144269487838897,0.672715398605456,NA
"EPHA4",7525.55582326858,5.05469660055408e-05,0.00144232423177611,0.0359126919952301,0.999872488939117
"LOC128626614",0.161676851174357,7.85368908446695e-08,0.00144269498634528,0.999358531130893,NA
"LOC119047933",0.228120801642128,-5.7063658522635e-08,0.00144269501755692,0.861948972187466,NA
"SLC4A3",108.708991855508,-9.18335619885963e-06,0.00144265517479075,0.142710136723463,0.999872488939117
"STK11IP",221.848037565466,-6.2220278721127e-06,0.00144261202466463,0.436791119699802,0.999872488939117
"INHA",0.106735542353944,-7.24577019961716e-09,0.00144269503679738,0.999175135595912,NA
"OBSL1",3.45326586579168,7.97606031913793e-07,0.00144269309008398,0.511474842442813,0.999872488939117
"TMEM198",7.29874648140903,4.98795027035781e-07,0.00144269098218199,0.77845660949029,0.999872488939117
"CHPF",862.244563187858,-1.63831040972187e-06,0.00144257680055593,0.859462238308951,0.999872488939117
