"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC128626932",0.211241345053146,-9.27170064299713e-09,0.00144269503598629,0.999230269234801,0.999969582678045
"LOC119041959",10.5013499976702,-2.2238029961347e-06,0.00144269170214757,0.199547346321341,0.999969582678045
"LOC119041957",13.3689812793219,-1.31684800497201e-06,0.00144269402659895,0.173249122099722,0.999969582678045
"LOC119041976",21.9012807202576,-4.15803999228479e-06,0.00144269204708864,0.0405866270432084,0.999969582678045
"LOC119041968",74.923640476577,-3.9584077346047e-06,0.00144266740025762,0.396604217393411,0.999969582678045
"SP140",35.6408951650419,-1.11478977410927e-06,0.00144267329482782,0.764182686844833,0.999969582678045
"SP110",444.507369499856,1.36591534760437e-08,0.00144251208633955,0.990724870062352,0.999969582678045
"LOC119041977",0.563868472699563,-2.37000554788182e-07,0.00144269483424444,0.458423801588288,0.999969582678045
"SLC16A14",15.8544360584436,-3.36069332102945e-06,0.00144268740545135,0.196048064794438,0.999969582678045
"FBXO36",133.133671869654,-4.22408200037965e-07,0.0014426234755197,0.950545735467361,0.999969582678045
"TRIP12",11195.4501234621,7.23751471255733e-06,0.00144195958574017,0.743670393399827,0.999969582678045
"DNER",197.425475813698,1.1102348759793e-05,0.00144262899518382,0.161994415292175,0.999969582678045
"PID1",23.9832419791102,-3.37735551718296e-06,0.00144268113551957,0.317450453785684,0.999969582678045
"SPHKAP",7.67053077188669,-2.01032707220349e-06,0.00144269211696803,0.622556332390987,0.999969582678045
"DAW1",10.5562709794758,-2.16369461778464e-07,0.00144268895372252,0.936404877181845,0.999969582678045
"CCL20",1.34190910872017,-8.50839896174964e-07,0.00144269443036358,0.239972585634512,0.999969582678045
"LOC128627384",3.26833306226942,1.6321681463922e-06,0.00144269404648849,0.117128419820537,0.999969582678045
"SLC19A3",234.962152494244,-9.83576601030983e-06,0.00144262057245394,0.226132682853027,0.999969582678045
"AGFG1",2462.00540493374,-1.63626609723633e-05,0.0014418624268153,0.50716779359074,0.999969582678045
"TM4SF20",16.2279118776409,-3.75818638273806e-06,0.00144268816057619,0.153744645152904,0.999969582678045
"MFF",1966.26918556975,3.12141131371909e-05,0.00144227608072745,0.130194726779287,0.999969582678045
"LOC119044744",65.2154700951495,-1.33606656346197e-06,0.00144266159257974,0.783890027284886,0.999969582678045
"COL4A3",43.7767409076831,5.61692858408199e-06,0.00144267724691158,0.172853320293541,0.999969582678045
"COL4A4",25.9710580638754,-1.93277100611811e-06,0.00144267997414687,0.566624953860118,0.999969582678045
"RHBDD1",439.525183735018,2.62389502782857e-05,0.00144255461531049,0.0554830499520786,0.999969582678045
"LOC119044738",211.000921524606,7.48100930101744e-06,0.00144261701323059,0.360687350004567,0.999969582678045
"IRS1",11334.6898186321,4.07883971739261e-06,0.00144208798128635,0.849305254193593,0.999969582678045
