,baseMean,log2FoldChange,lfcSE,pvalue,padj
CTDSP1,469.2488272,0.004687498,0.036544066,0.770535747,0.926742317
SLC11A1,1.646299336,-0.001635244,0.040413742,0.184962138,NA
CATIP,4.143463959,-0.001621777,0.040408531,0.257321418,NA
LOC119039533,275.8278976,0.01263201,0.039735584,0.392213981,0.742950289
TMBIM1,5603.968709,-0.034054337,0.038220934,0.147254492,0.54230412
LOC119039537,285.3917817,-0.020114768,0.045856357,0.090898515,0.474891025
AAMP,2321.63862,-0.040873917,0.055019068,0.079809745,0.456618263
GPBAR1,5.189335956,-0.001734428,0.040382344,0.407862442,NA
ARPC2,14406.97573,-0.057599286,0.054305888,0.043847255,0.396001669
CXCR1,73.48685831,-0.023017723,0.049319595,0.020788917,0.306530737
LOC119039525,0.346189362,-0.000100448,0.040382207,0.985641495,NA
LOC119039529,624.1517551,-0.066621019,0.08356039,0.015285835,0.283413992
RUFY4,709.2092706,-0.090913671,0.082236791,0.190442978,0.586810454
TNS1,8126.778342,0.018798469,0.036569865,0.354757116,0.71424275
LOC128628505,1.328857799,0.001585732,0.04041353,0.183150763,NA
LOC119039542,1.221879763,0.000433823,0.04036929,0.730100839,NA
IGFBP5,92949.81762,0.013747221,0.029612906,0.505745306,0.807543487
IGFBP2,11.04872978,0.000275638,0.040255799,0.935402777,NA
RPL37A,4084.371193,-0.017097914,0.043855173,0.136727493,0.53189255
SMARCAL1,707.0404326,0.001861206,0.034639455,0.915447782,0.978962035
MARCHF4,1.368400814,-0.000625954,0.040375412,0.555415852,NA
XRCC5,1326.46352,-0.027294956,0.038879757,0.214709626,0.606568464
TMEM169,94.89379973,-0.016095719,0.043752535,0.117458203,0.512130522
PECR,143.1806625,-7.50E-05,0.038755452,0.990955955,0.998641628
MREG,26.95235741,-0.001733376,0.040119408,0.727664005,NA
LOC128627015,0.561993068,0.000556678,0.040385317,0.447650873,NA
LOC119062559,0.145186093,-1.54E-05,0.040382725,0.995739714,NA
FN1,6100.435049,0.00157464,0.036209194,0.921407902,0.980735761
ATIC,1388.42312,0.001158154,0.033599451,0.950669141,0.988362273
LOC128628364,15.34962319,0.000128209,0.040203107,0.97677857,NA
ABCA12,254.7325755,0.031194517,0.055340251,0.044492313,0.397605282
BARD1,432.8114359,-0.008795651,0.037040096,0.596659732,0.855096433
VWC2L,1.003028184,0.001657354,0.040423508,0.067431402,NA
SPAG16,157.3054288,-0.007625215,0.039725209,0.373199418,0.729787779
IKZF2,841.1773145,-0.00588542,0.036082315,0.85052781,0.954763579
ERBB4,7354.008317,0.06057422,0.099845013,0.023255562,0.320109658
CPS1,2.560498813,0.001399301,0.040378985,0.44874059,NA
LOC128628506,0.695487527,0.000642998,0.04038126,0.571615824,NA
LANCL1,1544.016244,0.028067929,0.036677583,0.211492812,0.605037675
MYL1,1.662469111,-0.000835354,0.040381365,0.433022609,NA
ACADL,422.6965466,-0.022890606,0.04457588,0.176600563,0.572822112
KANSL1L,2053.090333,0.194582657,0.086876714,0.001033591,0.08496543
RPE,1443.179987,0.010083105,0.032800733,0.613682043,0.862749168
UNC80,5.108518588,-0.001174864,0.040344114,0.598429788,NA
MAP2,64.83588219,0.001141791,0.039654741,0.882156844,0.965753153
LOC119064373,9.912027783,-0.002506669,0.040399188,0.37193879,NA
LOC119064309,5.231940834,-0.000155779,0.040329979,0.943971743,NA
PTH2R,23.55374839,-0.003236283,0.040320963,0.470805441,NA
PIKFYVE,877.2689101,0.02499875,0.041490636,0.220315247,0.611984548
IDH1,1744.238289,-0.116252651,0.068794303,0.005398429,0.18908586
CUNH2orf80,0.900122395,0.000363104,0.040375019,0.724016946,NA
PLEKHM3,156.5185779,0.025090316,0.049548111,0.062209671,0.430951939
LOC119064340,7.23454527,0.002541286,0.040416803,0.326076494,NA
FZD5,533.5096761,-0.014776865,0.038352558,0.40357968,0.749342136
CCNYL1,4265.076876,-0.098851761,0.032946632,0.000380383,0.053448254
LOC128626223,874.9507672,0.005660157,0.038064591,0.683806763,0.893243206
LOC119064400,161.5906195,0.001396268,0.039111763,0.887801305,0.96715928
LOC119064372,957.0815461,0.00814206,0.039512733,0.499635432,0.804435652
LOC128626294,27.82973717,-0.000786968,0.040097593,0.868644441,NA
METTL21A,1387.239006,0.055775272,0.050524017,0.047077131,0.404321288
CREB1,81.05319389,3.94E-05,0.039351479,0.992829821,0.999030357
KLF7,1684.111559,-0.014243519,0.037666875,0.430396225,0.765293145
CPO,0.205359583,-2.44E-05,0.040382642,0.993855733,NA
LOC119064387,2.834187563,0.003127629,0.040526252,0.080434012,NA
FASTKD2,687.1619739,-0.005840728,0.035062402,0.750963427,0.919757625
MDH1B,27.49258972,0.000866373,0.040005422,0.938260037,NA
DYTN,0.30176395,0.000482279,0.040384709,0.626450839,NA
ADAM23,44.40332034,0.005641258,0.040543524,0.323842719,0.692622197
LOC119064319,0.305669637,-5.71E-05,0.040382411,0.989472478,NA
ZDBF2,599.9948695,0.012054796,0.041897279,0.19217578,0.588718798
CMKLR2,284.4884851,-0.037153178,0.061223051,0.04653702,0.403987686
EEF1B2,5115.314782,-0.0268212,0.050893201,0.059079298,0.422331192
NDUFS1,2268.759382,-0.072392998,0.047944801,0.017708722,0.296030368
LOC119064381,23.64705193,0.003324612,0.040216827,0.541011067,NA
LOC119064321,42.25318273,-0.002158547,0.040000753,0.720826642,0.908101901
INO80D,1756.351551,0.017007156,0.037962752,0.370440202,0.728106604
LOC128627026,0.290798981,-5.71E-05,0.040382443,0.990131904,NA
NRP2,1701.678109,0.077022312,0.070363929,0.02239596,0.316854888
PARD3B,932.0280695,0.055041777,0.098942436,0.018191037,0.296517889
LOC119064324,0.190240855,-4.34E-05,0.040382712,0.923567504,NA
CD28,0.569055147,-0.000387928,0.040381415,0.421093077,NA
RAPH1,2108.177423,0.021580961,0.043122231,0.21236233,0.605661173
ABI2,1362.407231,-0.00150705,0.032998897,0.936487786,0.985758996
LOC119064359,867.2431038,0.003991623,0.03507981,0.821749244,0.947207483
NBEAL1,2320.062996,0.02445749,0.044560368,0.178682402,0.574691997
CARF,311.3420453,0.013253739,0.040685469,0.330450038,0.69810459
WDR12,1180.135613,-0.06464552,0.072194534,0.033305603,0.355193025
ICA1L,25.51952988,0.003751562,0.040342477,0.490271977,NA
LOC119064307,0.094494928,0.000347595,0.040383815,0.875417122,NA
ADCY1,0.578903986,0.000332099,0.040379892,0.715841351,NA
IGFBP1,2.199611679,0.001267012,0.040396516,0.206950505,NA
IGFBP3,16.70756742,0.004210764,0.040589618,0.175388146,NA
TNS3,2633.472808,0.04374833,0.063297603,0.054897784,0.415134435
PKD1L1,18.74567358,0.000951552,0.040192543,0.803602722,NA
HUS1,367.7268384,0.006134996,0.037432339,0.687679043,0.895019407
SUN3,1.006831713,-0.000399859,0.040376755,0.668390621,NA
CUNH7orf57,7.712158915,0.001964342,0.040377822,0.427818161,NA
UPP1,17.57398967,-0.009064348,0.041751464,0.014065394,NA
ABCA13,0.828744335,-0.000293358,0.040376866,0.685663705,NA
VWC2,57.7913777,0.020691599,0.047527474,0.02224003,0.316154646
ZPBP,74.76567089,0.017802226,0.044902505,0.077715281,0.455304581
SPATA48,71.19166619,0.00191138,0.039605927,0.811859335,0.942992479
LOC119057327,0.997996188,0.000346904,0.040380694,0.631301653,NA
IKZF1,106.5661589,0.005646541,0.039878341,0.53058344,0.819789067
FIGNL1,270.3323773,0.000718168,0.037121422,0.962417322,0.990097338
DDC,1.091632378,-0.000842378,0.040380511,0.417957783,NA
GRB10,10393.36884,0.01979334,0.033129461,0.352927889,0.713293296
COBL,2016.183716,0.048765886,0.060300266,0.058764634,0.421681612
VSTM2A,0.681901572,0.00050354,0.040381284,0.495653011,NA
SEC61G,663.8825314,-0.013533513,0.0415836,0.260253382,0.648148905
EGFR,945.2925451,0.021841447,0.041404195,0.247203522,0.636931207
LANCL2,57.51120515,0.000777085,0.039752013,0.892611523,0.969034017
LOC128626824,38.97654383,-8.52E-05,0.040030195,0.986332398,0.997334903
VOPP1,87.44010092,0.008645559,0.040603392,0.347884408,0.710227265
LSMEM1,12.81217248,-0.000822602,0.040241815,0.814003669,NA
IFRD1,1175.477816,-0.020947518,0.037337703,0.310210909,0.683686192
ZNF277,1333.418778,0.004260102,0.030506527,0.832055309,0.950785471
DOCK4,1156.941291,0.024361681,0.039974581,0.241460971,0.632149431
IMMP2L,79.58481057,0.008064673,0.040362408,0.342111095,0.705954658
DNAJB9,1440.806574,-0.114175416,0.089623533,0.009251134,0.237347563
THAP5,407.4769606,-0.000516167,0.037492995,0.970610478,0.992266338
GPR141,0.201667795,-3.22E-05,0.040382551,0.992117223,NA
ELMO1,341.753226,0.228183209,0.112765833,0.001467601,0.100764177
AOAH,0.275778625,0.000530388,0.040386042,0.552270587,NA
ANLN,9266.710119,-0.029764502,0.03091379,0.178752471,0.574691997
MATCAP2,78.53559025,0.012890291,0.042372069,0.151662166,0.546744692
EEPD1,15.99365075,-0.003229605,0.040396959,0.392211592,NA
SEPTIN7,5921.332057,-0.01204269,0.030878965,0.556545379,0.834546915
HERPUD2,514.2229038,0.022128852,0.043284415,0.207740132,0.602273341
LOC119039079,0.111709583,0.000295529,0.040383204,0.875437903,NA
TBX20,1090.162258,0.057869218,0.083312296,0.032098746,0.349597445
DPY19L2,149.791557,0.00863195,0.039993597,0.437891075,0.771014972
DPY19L1,735.4599906,0.012744473,0.035979454,0.407578542,0.75134738
NPSR1,3.314805203,0.002572915,0.040454293,0.212377898,NA
LOC119035193,0.574046448,-0.000253249,0.040377877,0.592356593,NA
LOC128626758,0.193631672,-4.81E-05,0.040382775,0.791259907,NA
BMPER,3464.859512,0.003734293,0.036177862,0.819950759,0.94644044
BBS9,474.9530222,0.010957902,0.037161945,0.526081853,0.81818959
RP9,559.0849834,0.020321855,0.040067605,0.273862851,0.658629295
NT5C3A,552.3011145,-0.001016852,0.036680448,0.947323134,0.987745443
FKBP9,2035.662948,-0.015845751,0.03102614,0.449029961,0.776596258
LOC119035195,115.4901289,-0.00135878,0.039055482,0.89155288,0.968398661
KBTBD2,1314.578796,-0.027487344,0.039730895,0.208834389,0.602559599
AVL9,1435.358512,0.024904666,0.038969135,0.242791585,0.632986735
LSM5,470.0434565,-0.007447558,0.038854844,0.567700559,0.841000739
PDE1C,167.1854506,0.008730711,0.040138786,0.413614015,0.755178265
ITPRID1,0.163278936,0.000114736,0.040381759,0.994470978,NA
ADCYAP1R1,0.344447299,9.66E-05,0.040382102,0.936816166,NA
AQP1,22.60108427,-0.003540868,0.040394948,0.399848686,NA
MINDY4,69.38819968,0.011931379,0.042117389,0.144623759,0.539604248
CRHR2,0.12575475,-1.49E-05,0.040382726,0.995730012,NA
GARS1,3095.595338,0.010982278,0.030298431,0.593013704,0.854109368
LOC119035289,3.185712486,0.001400518,0.040374912,0.423075992,NA
LOC119035252,394.0995462,-0.036236322,0.057982434,0.03773808,0.37318082
GGCT,289.2907207,-0.005992175,0.03924171,0.594416135,0.854810717
NOD1,258.9498634,-0.004255833,0.03775682,0.761326309,0.923611771
LOC128626782,1.368751013,-0.000419059,0.040364074,0.674550027,NA
LOC128626878,13.3630491,-0.001473199,0.040258215,0.677015514,NA
BTG1,590.650262,0.001447927,0.036778115,0.924405288,0.982065836
PLEKHG7,157.5165186,-0.043511702,0.076189177,0.016728503,0.28956596
EEA1,2669.544281,0.011568615,0.039734981,0.410495401,0.752582599
LOC119050035,23.54590062,0.004967456,0.040488442,0.345559692,NA
LOC119050017,0.494262501,0.000384464,0.040383283,0.673525403,NA
LOC128626880,0.254219913,0.000356842,0.040383347,0.741685317,NA
NUDT4,10437.08977,0.019850356,0.025877022,0.327585688,0.695227535
UBE2N,4236.136359,-0.04857482,0.055747809,0.063808796,0.433186736
MRPL42,514.4658398,-0.012085631,0.039302407,0.423231799,0.761628154
SOCS2,160.5159002,0.023292753,0.047532714,0.091133588,0.474891025
CRADD,202.0098169,0.018705171,0.04385598,0.171213254,0.566803935
LOC128626887,1.063026848,0.001843079,0.040435153,0.046406821,NA
PLXNC1,97.36582184,-0.014144535,0.042707176,0.153280797,0.548976038
CEP83,1839.006092,0.06865245,0.064889605,0.029387297,0.342017157
TMCC3,5.601701531,0.002949178,0.040460346,0.272235738,NA
KCNA6,2.438087826,-0.000549409,0.040358864,0.715750674,NA
GALNT8,50.84783874,0.001685277,0.039871547,0.628147347,0.869503928
NDUFA9,1041.598741,-0.010932513,0.035674237,0.555197971,0.834130959
AKAP3,9.459995739,0.001532405,0.040295184,0.601259742,NA
DYRK4,8.663869649,0.003231271,0.040448452,0.313157441,NA
RAD51AP1,454.1632709,-0.003431204,0.03576964,0.788872008,0.935286294
CUNH12orf4,1190.214574,0.017797746,0.037037165,0.369486376,0.727178072
FGF6,0.145995909,0.000260278,0.040382777,0.868822884,NA
FGF23,8.10492176,-0.004106654,0.040579194,0.124156883,NA
TIGAR,758.0996086,-0.040777092,0.053464665,0.081867898,0.460349779
CCND2,32378.42664,0.013639824,0.031401523,0.511105945,0.811457627
PARP11,247.9178551,-0.006896953,0.03862097,0.602449773,0.856874183
CRACR2A,3.080906562,-0.000705107,0.04035555,0.672415228,NA
PRMT8,0.203850991,0.000338763,0.040383349,0.805960195,NA
TSPAN11,2.542336042,0.002225412,0.04044476,0.156536348,NA
TSPAN9,2755.028689,0.001991284,0.030031605,0.920295534,0.980415343
TEAD4,576.1406341,-0.009446789,0.037344483,0.537490951,0.824348351
TULP3,1213.467322,0.00739447,0.034746574,0.689204967,0.895251741
RHNO1,353.3230563,0.007941311,0.03843643,0.550099487,0.831340946
FOXM1,265.1694848,0.00104918,0.037048419,0.945811963,0.987744514
NRIP2,8.68709765,-0.003215913,0.040451634,0.301487485,NA
ITFG2,542.9735878,0.004282082,0.036058608,0.796915161,0.937926858
LOC128626937,319.6982016,-0.015608656,0.042225896,0.286854223,0.667246667
FKBP4,1707.356672,-0.007787522,0.033033505,0.689293462,0.895251741
WASHC1,654.4919289,0.029552542,0.044325181,0.164088854,0.55989132
IQSEC3,0.414685522,-0.000176659,0.040382493,0.835167717,NA
SLC6A13,0.930589805,0.001034705,0.040390223,0.34153823,NA
KDM5A,1887.12944,0.029981243,0.041812064,0.176460328,0.572822112
CCDC77,1052.565353,0.001756579,0.034034251,0.924527586,0.98206675
LOC119045239,0.095147736,-9.76E-06,0.040382731,0.995715454,NA
LOC119045223,0.090457084,-2.76E-05,0.040382764,0.945450347,NA
B4GALNT3,1135.931198,0.01719279,0.035630877,0.396308563,0.745832842
NINJ2,35.85364218,0.003179491,0.040064811,0.614376432,0.863341242
LOC119045226,0.377495756,-0.000167387,0.040379592,0.641458404,NA
WNK1,6734.427119,0.026767914,0.041612663,0.203556326,0.598776691
RAD52,544.4091517,0.049907874,0.080775104,0.028132514,0.337255258
LOC119045236,5.388030001,0.00133791,0.040351475,0.593229434,NA
ERC1,1558.839702,0.029072352,0.04744489,0.135778479,0.53189255
WNT5B,375.1056024,0.041560644,0.06695187,0.037254219,0.372049576
ADIPOR2,1132.367408,-0.021580616,0.036270316,0.307728954,0.682328057
CACNA2D4,6.916350402,0.006290697,0.041014169,0.031768081,NA
DCP1B,854.870069,0.012030096,0.037118063,0.496458187,0.803854755
CACNA1C,6036.001691,0.027644102,0.049135348,0.105618114,0.497190999
C1QTNF9,9.809199586,0.001052995,0.040307308,0.703438746,NA
SPATA13,648.9048335,0.03222058,0.054156413,0.069044868,0.441746214
AMER2,25.36395281,-0.00424624,0.040451375,0.265143659,NA
LOC119061432,114.001393,0.011288512,0.041373209,0.25262297,0.641892225
LOC128627030,1.551369826,0.001507154,0.040409111,0.14970184,NA
UGT2A1,178.044021,-0.019271005,0.045164059,0.11075136,0.503910726
LOC119043925,2.952030172,0.000508156,0.040349194,0.810740316,NA
ARHGEF5,7.906992984,-0.000732307,0.040275406,0.808992254,NA
NOBOX,2.806320118,0.000766036,0.040364989,0.60407525,NA
TPK1,254.0646076,0.029926971,0.053076012,0.054486426,0.414708139
LOC128627072,53.00435271,-0.005870613,0.040495683,0.344384165,0.706839391
ZNF354A,1958.346782,0.003852292,0.029607659,0.849114877,0.954445609
MINAR2,0.296648758,0.000403755,0.040383795,0.675863115,NA
ADAMTS19,1.675356396,0.000414906,0.040359503,0.785371312,NA
SMURF1,665.0952849,0.082738487,0.098333064,0.019664984,0.305614642
KPNA7,0.794284835,0.000794155,0.040383559,0.452706393,NA
TRRAP,9643.296591,0.036134576,0.050329395,0.105211275,0.496790576
LOC119052713,342.383735,-0.008738285,0.040799143,0.330808625,0.698167446
HIGD2A,155.9086781,-0.042502809,0.080119544,0.004358333,0.167916805
CLTB,1279.875421,-0.009770265,0.038586189,0.509957294,0.811037742
FAF2,1204.168879,0.017098111,0.036750275,0.386253727,0.740238773
LOC119062978,0.119963741,-2.34E-05,0.040382762,0.945433942,NA
RNF44,1238.06869,-0.002765085,0.034549258,0.876137952,0.962564871
CDHR2,1014.559262,0.009848738,0.035175749,0.597751202,0.855896692
GPRIN1,4.476121605,0.000428962,0.040350932,0.780971952,NA
SNCB,12.04226549,-0.005051951,0.040728239,0.114748551,NA
EIF4E1B,0.228905431,-5.49E-06,0.040382737,0.995734695,NA
TSPAN17,563.8541175,-0.314699866,0.105282544,0.000113138,0.025605398
UNC5A,5.567572323,0.002838297,0.040455461,0.256670371,NA
HK3,61.66207856,0.000954372,0.039846843,0.906452444,0.974918952
UIMC1,703.9619344,0.018780446,0.038055282,0.339235171,0.70418029
LOC119062961,4.224806369,-0.002034729,0.04041748,0.26608449,NA
ZNF346,358.3909492,0.009266537,0.037927249,0.552672434,0.832817937
FGFR4,175.9376103,-0.00457102,0.038933914,0.688201502,0.895062972
LOC119035150,43.19620743,0.000786183,0.039938791,0.894974763,0.969422288
