Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128626932,0.211241345,0.012595121,0.209354032,0.722944063,NA
LOC119041959,10.50135,2.520917389,0.498809826,2.93E-08,8.24E-07
LOC119041957,13.36898128,4.564147301,0.902786743,4.04E-08,1.11E-06
LOC119041976,21.90128072,3.772698736,0.383226839,7.67E-24,5.68E-22
LOC119041968,74.92364048,2.343093966,0.200736907,1.23E-32,1.11E-30
SP140,35.64089517,1.220567248,0.241915426,2.90E-08,8.17E-07
SP110,444.5073695,2.678199431,0.079820556,7.10E-248,7.53E-245
LOC119041977,0.563868473,-0.017994963,0.209766184,0.259541142,NA
SLC16A14,15.85443606,-0.111910127,0.215766451,0.237576436,0.598658501
FBXO36,133.1336719,-0.177809194,0.135956242,0.096650271,0.383491885
TRIP12,11195.45012,0.042965352,0.043925855,0.317217489,0.67959601
DNER,197.4254758,-0.019644598,0.112253928,0.835371183,0.950794276
PID1,23.98324198,-0.263913315,0.295438857,0.05559234,0.276501947
SPHKAP,7.670530772,-0.15175685,0.282827311,0.033134529,0.19613225
DAW1,10.55627098,0.080471879,0.209262111,0.334721662,0.694180965
CCL20,1.341909109,0.003664598,0.206104662,0.96858485,NA
LOC128627384,3.268333062,0.042443365,0.210961193,0.301827624,0.666626781
SLC19A3,234.9621525,1.477473664,0.119266725,2.13E-36,2.14E-34
AGFG1,2462.005405,0.046083956,0.040368673,0.244904552,0.606958929
TM4SF20,16.22791188,0.032912117,0.185326132,0.738115661,0.916796118
MFF,1966.269186,0.068552559,0.049275778,0.15199699,0.488512551
LOC119044744,65.2154701,-0.029449648,0.149393742,0.778732673,0.933876316
COL4A3,43.77674091,0.16629613,0.201664724,0.165606633,0.50996074
COL4A4,25.97105806,0.350578105,0.306479392,0.030124202,0.183501598
RHBDD1,439.5251837,1.096744252,0.072005115,1.76E-42,2.12E-40
LOC119044738,211.0009215,0.070286021,0.113385268,0.462606496,0.787981154
IRS1,11334.68982,-0.131490879,0.048891048,0.005556535,0.051822992
LOC119044736,2.366293616,-0.015792059,0.206106417,0.676079046,0.893811375
LOC119044754,0.233208385,-0.001898341,0.208971477,0.891710107,NA
NYAP2,180.0227835,0.001997731,0.117152151,0.987107663,0.997198097
DOCK10,0.339239795,-0.001528663,0.208935448,0.994715226,NA
LOC128627588,30.17633372,0.061041622,0.178838604,0.54583278,0.833544751
CUL3,2598.569831,0.003727732,0.039023973,0.922315633,0.979865962
SERPINE2,300.0594527,-0.13118129,0.098006134,0.131706204,0.452426818
MRPL44,259.2959028,0.065694838,0.110832879,0.485641848,0.802419576
WDFY1,1942.853207,0.195270196,0.040471315,8.39E-07,1.97E-05
AP1S3,822.0823156,0.190851935,0.065287917,0.00176272,0.019626763
SCG2,0.596099383,-0.006820905,0.208128718,0.616854669,NA
LOC119061933,1146.712838,-0.012752672,0.159825833,0.899336121,0.971956339
KCNE4,0.086865576,-0.000274869,0.208979522,0.997827827,NA
ACSL3,1128.460566,0.070386019,0.048151467,0.132756003,0.454156259
MOGAT1,42.57707454,0.048801247,0.168565237,0.694845812,0.900694882
FARSB,1784.201919,0.031308344,0.047872725,0.501746286,0.808174058
SGPP2,2.735912575,0.055370668,0.212995463,0.281520825,0.646831208
LOC128626908,0.69708696,-0.004193886,0.208860663,0.987771512,NA
EPHA4,7525.555823,-0.185357896,0.042841452,9.43E-06,0.000182055
LOC128626614,0.161676851,-0.000626306,0.208984924,0.938977574,NA
LOC119047933,0.228120802,-0.002965231,0.208958067,0.858849545,NA
SLC4A3,108.7089919,-0.07307847,0.133100944,0.48076888,0.799238705
STK11IP,221.8480376,-0.06443244,0.111758369,0.495437873,0.806197954
INHA,0.106735542,-0.000309283,0.208979009,0.997817975,NA
OBSL1,3.453265866,0.016276103,0.204182247,0.739920122,0.917432496
TMEM198,7.298746481,-0.004970246,0.198083533,0.946621771,0.98706986
CHPF,862.2445632,-0.083278292,0.101557854,0.348003282,0.704373517
ASIC4,0.434934344,-0.007584187,0.209039759,0.585402819,NA
GMPPA,321.5900713,-0.018051833,0.096714643,0.832710305,0.950107828
SPEGNB,0.826847076,-0.005485696,0.207669613,0.756024511,NA
SPEG,698.2926392,-0.258241651,0.096266355,0.002820673,0.029545571
DES,1.541870563,0.079088473,0.229836462,0.012840494,NA
DNPEP,172.8894142,1.141364185,0.131566675,2.90E-19,1.84E-17
PTPRN,322.5247585,-0.013486492,0.09063782,0.868364255,0.961970944
DNAJB2,599.5160759,-0.144083885,0.090288491,0.076097509,0.334315166
LOC119056902,3.63287062,0.000795235,0.201959508,0.997114117,0.998893001
LOC119056884,798.4313124,-0.028100395,0.084783295,0.716210919,0.908482914
STK16,450.6030462,-0.180366774,0.10166491,0.043144915,0.234916633
GLB1L,360.1415395,-0.135177656,0.094388883,0.107821025,0.408028393
ANKZF1,553.1025388,-0.106624257,0.075285597,0.127777439,0.446238363
ATG9A,957.9128255,-0.105729626,0.060985004,0.068986396,0.314240636
ABCB6,720.754653,-0.145228739,0.062541392,0.014600689,0.109839985
ZFAND2B,268.0517369,-0.090564561,0.117202938,0.352580578,0.708321916
RETREG2,1083.658075,-0.064134246,0.062023654,0.278036278,0.643570038
CNPPD1,607.8490588,-0.070245351,0.079865935,0.339863282,0.697675639
SLC23A3,37.33081752,-0.041894052,0.165872193,0.673743295,0.893068392
NHEJ1,58.54986198,0.097943517,0.163859909,0.373680418,0.725920982
IHH,0.09735336,-0.000592516,0.208987182,0.853360021,NA
CFAP65,9.032632727,-0.072307168,0.209771097,0.345517369,0.701931417
CDK5R2,0.245275495,0.008258724,0.208994496,0.790752488,NA
WNT6,3.311303083,-0.00328375,0.205008343,0.975314228,0.99509151
LOC119056899,4.473213812,0.072801535,0.217189486,0.243783462,0.605311902
TTLL4,587.2802706,0.03217281,0.074530792,0.645403086,0.881466051
STK36,527.7926633,0.002810913,0.079570481,0.970046743,0.994494698
RNF25,625.3496682,0.018093561,0.07267645,0.791690079,0.937470494
LOC119039496,478.5683265,-0.039324816,0.074636455,0.572202835,0.845969087
ZNF142,646.9077735,0.104114759,0.075173075,0.136766781,0.460888724
PLCD4,128.4558367,0.141503329,0.136713863,0.185806044,0.540433087
LOC128628050,2.905814391,0.018813701,0.206840324,0.565436323,0.844285476
CNOT9,1327.609389,-0.051317804,0.045249212,0.244841132,0.606896286
USP37,1235.212814,0.097690222,0.057223745,0.075504656,0.332877411
VIL1,3.234974997,-0.010198572,0.203110405,0.801287312,0.941205265
CTDSP1,469.2488272,-0.100302493,0.077630518,0.162835709,0.505734719
SLC11A1,1.646299336,-0.040408483,0.212756613,0.161814241,NA
CATIP,4.143463959,-0.000285748,0.203817608,0.998014231,0.999521901
LOC119039533,275.8278976,-0.026214969,0.08912048,0.744653612,0.919593312
TMBIM1,5603.968709,0.192565785,0.04552242,1.40E-05,0.000259891
LOC119039537,285.3917817,0.043464336,0.117419141,0.655480456,0.885667638
AAMP,2321.63862,-0.079494255,0.067589625,0.212832977,0.572691714
GPBAR1,5.189335956,-0.123311891,0.257286368,0.03334325,0.197074459
ARPC2,14406.97573,-0.019411977,0.052322896,0.700946817,0.902465652
