Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC128626932,0.211241345,0.00535778,0.177599764,0.895623127,NA
LOC119041959,10.50135,1.52422169,0.72904789,0.001542279,0.014910716
LOC119041957,13.36898128,5.144939055,1.383179641,1.56E-05,0.000323364
LOC119041976,21.90128072,2.821789928,0.483993537,5.70E-10,2.52E-08
LOC119041968,74.92364048,2.507563376,0.213655381,6.66E-33,9.18E-31
SP140,35.64089517,0.894941548,0.259598829,3.30E-05,0.000618303
SP110,444.5073695,1.878879796,0.082277453,1.27E-116,7.52E-114
LOC119041977,0.563868473,-0.012461956,0.178002892,0.285115234,NA
SLC16A14,15.85443606,-0.098984409,0.196848952,0.170006087,0.405460397
FBXO36,133.1336719,-0.131467638,0.130672672,0.139009195,0.35715154
TRIP12,11195.45012,0.090542801,0.043952796,0.033101863,0.141966898
DNER,197.4254758,-0.089991638,0.112109414,0.308800757,0.57202206
PID1,23.98324198,0.026526175,0.155755506,0.7543564,0.891969389
SPHKAP,7.670530772,0.049139579,0.178859507,0.345123864,0.609311601
DAW1,10.55627098,-0.03803128,0.171184055,0.52595514,0.755640422
CCL20,1.341909109,0.01044328,0.176187717,0.734481868,NA
LOC128627384,3.268333062,0.062861046,0.192062943,0.036663025,NA
SLC19A3,234.9621525,0.847523548,0.123106421,4.22E-13,2.40E-11
AGFG1,2462.005405,0.081163563,0.040433957,0.039004524,0.159463803
TM4SF20,16.22791188,0.033589993,0.166345889,0.644557209,0.831564982
MFF,1966.269186,0.08202609,0.048904658,0.080340953,0.253164032
LOC119044744,65.2154701,-0.218193547,0.200234618,0.06259663,0.215511672
COL4A3,43.77674091,0.085321966,0.161746448,0.342858935,0.606473335
COL4A4,25.97105806,-0.006370706,0.150689103,0.941444481,0.975950416
RHBDD1,439.5251837,0.496675413,0.075191239,4.80E-12,2.50E-10
LOC119044738,211.0009215,0.190851677,0.127663147,0.052418798,0.192645933
IRS1,11334.68982,-0.143123436,0.04892867,0.002281202,0.0202736
LOC119044736,2.366293616,-0.020706184,0.176658143,0.477160888,NA
LOC119044754,0.233208385,0.009449909,0.177808828,0.641124635,NA
NYAP2,180.0227835,0.063048106,0.117240746,0.40392812,0.66360904
DOCK10,0.339239795,0.006203088,0.177513867,0.807926548,NA
LOC128627588,30.17633372,-0.042852434,0.158555507,0.586140639,0.794089589
CUL3,2598.569831,0.131663578,0.039418127,0.000596516,0.007096183
SERPINE2,300.0594527,0.000387848,0.089732843,0.998804911,0.999854965
MRPL44,259.2959028,-0.004286735,0.104170301,0.958646043,0.983939446
WDFY1,1942.853207,0.124845322,0.040402952,0.001475437,0.014406005
AP1S3,822.0823156,0.164700656,0.066646605,0.007606343,0.049686918
SCG2,0.596099383,-0.000834386,0.176825611,0.780772047,NA
LOC119061933,1146.712838,0.023219965,0.145404019,0.786661556,0.908012866
KCNE4,0.086865576,-0.000193708,0.177578935,0.987455364,NA
ACSL3,1128.460566,0.13303337,0.048649096,0.004357734,0.032823073
MOGAT1,42.57707454,-0.182612909,0.222827815,0.093634716,0.278864093
FARSB,1784.201919,0.118177461,0.048574533,0.011217999,0.066198852
SGPP2,2.735912575,0.001202067,0.174374287,0.998944612,NA
LOC128626908,0.69708696,0.022552152,0.179141203,0.192656584,NA
EPHA4,7525.555823,-0.175538553,0.042853483,2.35E-05,0.000463905
LOC128626614,0.161676851,0.006365163,0.177609812,0.852024598,NA
LOC119047933,0.228120802,-0.002544632,0.1775835,0.711813182,NA
SLC4A3,108.7089919,-0.173657888,0.148543052,0.09400056,0.279558879
STK11IP,221.8480376,-0.117838831,0.112784612,0.187477692,0.429572119
INHA,0.106735542,-0.000415297,0.17758172,0.928661236,NA
OBSL1,3.453265866,0.022822545,0.175246606,0.560141599,NA
TMEM198,7.298746481,-0.019806978,0.170862612,0.68601876,0.853433467
CHPF,862.2445632,-0.294303255,0.113045049,0.002077991,0.018751459
ASIC4,0.434934344,-0.006498886,0.177691523,0.393667421,NA
GMPPA,321.5900713,-0.131899763,0.1008887,0.116669648,0.319969164
SPEGNB,0.826847076,0.008983132,0.176953555,0.696461769,NA
SPEG,698.2926392,-0.359770663,0.09768422,4.03E-05,0.000736913
DES,1.541870563,0.039493217,0.182755343,0.098559336,NA
DNPEP,172.8894142,0.473011182,0.134620502,4.81E-05,0.000854183
PTPRN,322.5247585,-0.225257303,0.10004577,0.008509983,0.053873445
DNAJB2,599.5160759,-0.111851384,0.087549989,0.142193655,0.362119186
LOC119056902,3.63287062,0.069476609,0.193743821,0.074227383,NA
LOC119056884,798.4313124,-0.171930262,0.089955728,0.028108566,0.127290419
STK16,450.6030462,-0.070701825,0.093709603,0.374265499,0.637728711
GLB1L,360.1415395,-0.016973764,0.086114097,0.820652917,0.923670487
ANKZF1,553.1025388,-0.131935599,0.075171293,0.05216344,0.192141003
ATG9A,957.9128255,-0.121859632,0.061081937,0.033084488,0.141966898
ABCB6,720.754653,-0.043764132,0.060446496,0.440744447,0.691988741
ZFAND2B,268.0517369,-0.21930114,0.131244025,0.030261694,0.133718464
RETREG2,1083.658075,-0.017629446,0.060637537,0.75655116,0.893017092
CNPPD1,607.8490588,-0.050558247,0.077541561,0.467425162,0.712949596
SLC23A3,37.33081752,0.003179077,0.146222578,0.971616492,0.988421601
NHEJ1,58.54986198,-0.199993069,0.203303672,0.07787194,0.248245184
IHH,0.09735336,0.004284576,0.1775714,0.95349491,NA
CFAP65,9.032632727,0.017130221,0.169825882,0.782940525,0.905994986
CDK5R2,0.245275495,-0.001092488,0.177558067,0.973531731,NA
WNT6,3.311303083,-0.073729223,0.197287977,0.045286376,NA
LOC119056899,4.473213812,0.053989418,0.183807344,0.221343121,0.472298457
TTLL4,587.2802706,-0.044054948,0.074380223,0.513590978,0.748041004
STK36,527.7926633,-0.124760324,0.081599193,0.084947343,0.262909355
RNF25,625.3496682,-0.123062558,0.073645877,0.065573731,0.222084192
LOC119039496,478.5683265,0.033551048,0.074044109,0.618113369,0.815187393
ZNF142,646.9077735,-0.072805848,0.073274506,0.274044795,0.534512262
PLCD4,128.4558367,0.116852947,0.132204122,0.221823871,0.472893258
LOC128628050,2.905814391,0.032179066,0.177131787,0.491648693,NA
CNOT9,1327.609389,0.047735003,0.044907457,0.271676303,0.532345806
USP37,1235.212814,0.062673424,0.056719564,0.243498192,0.498787818
VIL1,3.234974997,0.029545272,0.177876387,0.383590119,NA
CTDSP1,469.2488272,-0.250469603,0.080576381,0.000606049,0.007180662
SLC11A1,1.646299336,0.015247188,0.176916345,0.525142299,NA
CATIP,4.143463959,-0.044978909,0.182436879,0.194186197,NA
LOC119039533,275.8278976,-0.23451567,0.099243245,0.006011017,0.041486978
