,baseMean,log2FoldChange,lfcSE,pvalue,padj
SLC11A1,1.646299336,0.001121958,0.046126374,0.491899025,NA
CATIP,4.143463959,-0.000895241,0.046079187,0.706032052,NA
LOC119039533,275.8278976,-0.020196265,0.046841249,0.28776451,0.623901016
TMBIM1,5603.968709,-0.020906716,0.034997433,0.387624574,0.699030062
LOC119039537,285.3917817,-0.028873064,0.056411653,0.070293343,0.344856708
AAMP,2321.63862,-0.145437767,0.082152695,0.004111609,0.101235749
GPBAR1,5.189335956,0.000637591,0.046086849,0.744397883,NA
ARPC2,14406.97573,0.037050681,0.043699375,0.162135988,0.497892342
CXCR1,73.48685831,0.0007127,0.044708741,0.896716157,NA
LOC119039525,0.346189362,-4.70E-05,0.046131007,0.821267971,NA
LOC119039529,624.1517551,0.027814761,0.04660862,0.233863488,0.579587118
RUFY4,709.2092706,-0.025996033,0.042660064,0.281645931,0.619553774
TNS1,8126.778342,-0.023697348,0.040075754,0.328275055,0.658817204
LOC128628505,1.328857799,0.000327226,0.046109574,0.887836653,NA
LOC119039542,1.221879763,0.002148752,0.046185997,0.13929169,NA
IGFBP5,92949.81762,-0.010252944,0.030706161,0.657290116,0.861423653
IGFBP2,11.04872978,0.005573379,0.046457109,0.230760598,NA
RPL37A,4084.371193,9.99E-05,0.043866914,0.995369263,0.997881452
SMARCAL1,707.0404326,0.003063267,0.038220845,0.887200427,0.958849634
MARCHF4,1.368400814,-0.000574452,0.046104592,0.696019891,NA
XRCC5,1326.46352,0.049243847,0.04945725,0.088088331,0.38122052
TMEM169,94.89379973,-0.017811938,0.049294321,0.154166247,NA
PECR,143.1806625,-0.01262226,0.046098762,0.45050679,0.745630415
MREG,26.95235741,0.008621915,0.046870944,0.160034844,NA
LOC128627015,0.561993068,-0.000296001,0.046134714,0.783329084,NA
LOC119062559,0.145186093,-1.66E-05,0.046134737,0.992586876,NA
FN1,6100.435049,-0.009323329,0.040979595,0.641169,0.852572872
ATIC,1388.42312,0.000858294,0.036762984,0.969169102,0.98760666
LOC128628364,15.34962319,-0.01258878,0.048476385,0.015244774,NA
ABCA12,254.7325755,0.012606999,0.045215489,0.428273657,0.729886764
BARD1,432.8114359,0.003562874,0.040508687,0.855937045,0.948027408
VWC2L,1.003028184,-0.000980737,0.046135898,0.362028802,NA
SPAG16,157.3054288,0.239081952,0.205047932,0.005153419,0.111285399
IKZF2,841.1773145,-0.011454397,0.041085298,0.578821354,0.820057389
ERBB4,7354.008317,0.010876406,0.042656992,0.568771331,0.814899734
CPS1,2.560498813,-0.000240076,0.04607582,0.898100457,NA
LOC128628506,0.695487527,-2.73E-05,0.046127197,0.960341646,NA
LANCL1,1544.016244,-0.025311584,0.036595617,0.305550911,0.638573485
MYL1,1.662469111,-0.001073784,0.046137615,0.376076177,NA
ACADL,422.6965466,0.020924615,0.046351366,0.295929481,0.631328883
KANSL1L,2053.090333,0.072902109,0.080933746,0.034495679,0.253691652
RPE,1443.179987,0.006496953,0.035070487,0.778004297,0.920262197
UNC80,5.108518588,0.001675947,0.046117003,0.490831492,NA
MAP2,64.83588219,0.004103618,0.045345331,0.669112117,NA
LOC119064373,9.912027783,-0.006007187,0.046592523,0.082562247,NA
LOC119064309,5.231940834,-0.001452213,0.046067851,0.620951392,NA
PTH2R,23.55374839,0.002363369,0.045838909,0.77593748,NA
PIKFYVE,877.2689101,0.063479627,0.064093492,0.048726028,0.294435767
IDH1,1744.238289,-0.022961071,0.040310562,0.339300405,0.666397023
CUNH2orf80,0.900122395,0.000772744,0.046131159,0.487833759,NA
PLEKHM3,156.5185779,-0.001287213,0.043406227,0.929425712,0.973844107
LOC119064340,7.23454527,-0.000562921,0.046023827,0.873859659,NA
FZD5,533.5096761,-0.008017552,0.039628789,0.702918575,0.882900177
CCNYL1,4265.076876,0.005117902,0.026467933,0.812504256,0.931782702
LOC128626223,874.9507672,0.000463778,0.042128432,0.980057958,0.991509802
LOC119064400,161.5906195,-0.009552923,0.045525566,0.424924033,0.727348088
LOC119064372,957.0815461,-0.00248492,0.043394692,0.866705244,0.953000976
LOC128626294,27.82973717,0.000381706,0.045703048,0.888958001,NA
METTL21A,1387.239006,0.032280947,0.039860972,0.2097442,0.554970932
CREB1,81.05319389,0.01149197,0.046713663,0.460763446,NA
KLF7,1684.111559,0.027314447,0.045887143,0.244486742,0.58884079
CPO,0.205359583,0.000115493,0.046133037,0.909238903,NA
LOC119064387,2.834187563,-0.00255765,0.046191926,0.228674591,NA
FASTKD2,687.1619739,0.007051267,0.038543007,0.74533482,0.907336979
MDH1B,27.49258972,0.005219361,0.046005483,0.462980454,NA
DYTN,0.30176395,0.000418824,0.046134551,0.834696824,NA
ADAM23,44.40332034,0.006267331,0.045994934,0.476001893,NA
LOC119064319,0.305669637,-0.000198403,0.046134994,0.634123758,NA
ZDBF2,599.9948695,-0.003233094,0.044748802,0.774637811,0.918781553
CMKLR2,284.4884851,-0.000824398,0.042431954,0.859811164,0.949526531
EEF1B2,5115.314782,-0.002303237,0.043295466,0.87866579,0.957560243
NDUFS1,2268.759382,0.045336689,0.041206856,0.099273962,0.399075724
LOC119064381,23.64705193,0.003338602,0.045797327,0.62590201,NA
LOC119064321,42.25318273,0.008371936,0.046540173,0.428643663,NA
INO80D,1756.351551,0.014931362,0.040037459,0.503146219,0.774672966
LOC128627026,0.290798981,-0.000148125,0.046134595,0.849221573,NA
NRP2,1701.678109,0.074976323,0.062536276,0.030463583,0.243048255
PARD3B,932.0280695,0.005834797,0.042809296,0.7297409,0.898688341
LOC119064324,0.190240855,-2.89E-05,0.046134617,0.989658393,NA
CD28,0.569055147,-0.000672451,0.046136793,0.301857449,NA
RAPH1,2108.177423,0.014136736,0.042843035,0.479645335,0.761479042
ABI2,1362.407231,0.010132743,0.036615522,0.658510196,0.861884855
LOC119064359,867.2431038,0.032153583,0.048446645,0.187279876,0.530530484
NBEAL1,2320.062996,-0.00542544,0.040625724,0.782653845,0.9214347
CARF,311.3420453,0.02657129,0.051728013,0.160572662,0.495488213
WDR12,1180.135613,0.027277325,0.044472615,0.256518319,0.599504777
ICA1L,25.51952988,0.006203606,0.046350205,0.304221267,NA
LOC119064307,0.094494928,-3.40E-06,0.046134772,0.992622544,NA
ADCY1,0.578903986,0.000429061,0.046133266,0.763748469,NA
IGFBP1,2.199611679,-0.002626592,0.046203102,0.187166866,NA
IGFBP3,16.70756742,0.001552949,0.045918001,0.75482661,NA
TNS3,2633.472808,-0.188418836,0.094829232,0.002020179,0.072999141
PKD1L1,18.74567358,-0.002933384,0.045885291,0.634387866,NA
HUS1,367.7268384,-0.011530828,0.042808633,0.541772919,0.797352339
SUN3,1.006831713,-0.000100547,0.046118582,0.936946846,NA
CUNH7orf57,7.712158915,0.005106386,0.046408252,0.164568312,NA
UPP1,17.57398967,-0.013129473,0.048700137,0.00775141,NA
ABCA13,0.828744335,-0.000814845,0.04613302,0.431872019,NA
VWC2,57.7913777,0.007897847,0.046115198,0.398661451,NA
ZPBP,74.76567089,0.007262138,0.04543961,0.521488609,NA
SPATA48,71.19166619,-0.00737907,0.045672184,0.497647099,NA
LOC119057327,0.997996188,-0.000835343,0.046130572,0.444913188,NA
IKZF1,106.5661589,-0.026998232,0.056066665,0.044231584,NA
FIGNL1,270.3323773,-0.009968235,0.043223973,0.572834938,0.816729897
DDC,1.091632378,-0.001877345,0.046171714,0.15012156,NA
GRB10,10393.36884,-0.170146514,0.047613404,2.50E-05,0.008215425
COBL,2016.183716,-0.035103896,0.04884178,0.165439311,0.501694464
VSTM2A,0.681901572,-0.000144877,0.046124176,0.791239994,NA
SEC61G,663.8825314,-0.010813261,0.045093325,0.46630594,0.755229489
EGFR,945.2925451,-0.003958772,0.039086525,0.849689352,0.945332579
LANCL2,57.51120515,-0.003521011,0.045364162,0.709298057,NA
LOC128626824,38.97654383,-0.016946992,0.050280861,0.021603302,NA
VOPP1,87.44010092,0.001313138,0.044641495,0.908874568,NA
LSMEM1,12.81217248,0.000213296,0.045918491,0.965674357,NA
IFRD1,1175.477816,0.015144732,0.03748556,0.516060953,0.782360404
ZNF277,1333.418778,-0.073500321,0.046961378,0.021187381,0.211755121
DOCK4,1156.941291,-0.050174749,0.054531317,0.08393937,0.374465552
IMMP2L,79.58481057,0.004260399,0.044977476,0.700498219,NA
DNAJB9,1440.806574,-0.0023236,0.038794658,0.911852358,0.967903395
THAP5,407.4769606,0.026394713,0.050521852,0.185796566,0.528258733
GPR141,0.201667795,-9.76E-05,0.046134651,0.879229888,NA
ELMO1,341.753226,0.01393219,0.044097863,0.451030355,0.745630415
AOAH,0.275778625,-0.000140178,0.046134518,0.849298325,NA
ANLN,9266.710119,0.019612316,0.030140137,0.398583049,0.70884465
MATCAP2,78.53559025,-0.0034395,0.044852699,0.689018173,NA
EEPD1,15.99365075,-0.002516139,0.045940198,0.668294477,NA
SEPTIN7,5921.332057,0.011331949,0.032664696,0.628330331,0.845821351
HERPUD2,514.2229038,0.009625787,0.041498128,0.626182004,0.8454429
