"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC128626932",0.211241345053146,3.59097715048975e-07,0.00144269500096861,0.884655744725531,0.999459513539606
"LOC119041959",10.5013499976702,-2.02273926436049e-06,0.00144269139959221,0.252008917623188,0.999459513539606
"LOC119041957",13.3689812793219,-1.04146953519763e-06,0.00144269380852078,0.294030642922699,0.999459513539606
"LOC119041976",21.9012807202576,-2.75336264111016e-06,0.00144268974893087,0.206619155141795,0.999459513539606
"LOC119041968",74.923640476577,-4.49703425076408e-06,0.00144266797131522,0.336102387641687,0.999459513539606
"SP140",35.6408951650419,-1.62122160992117e-06,0.00144267334070925,0.685400969718655,0.999459513539606
"SP110",444.507369499856,1.05704062604709e-05,0.00144252612064678,0.361905872671082,0.999459513539606
"LOC119041977",0.563868472699563,-2.5214579562069e-07,0.00144269483866531,0.440463957237726,0.999459513539606
"SLC16A14",15.8544360584436,-5.57909901747256e-06,0.0014426913209919,0.0298804067820424,0.999459513539606
"FBXO36",133.133671869654,-9.77580823644188e-06,0.00144264119432105,0.169692239368042,0.999459513539606
"TRIP12",11195.4501234621,-1.1472485102779e-05,0.00144197272907162,0.614345579331932,0.999459513539606
"DNER",197.425475813698,7.47339352486508e-06,0.0014426170795525,0.354435487040068,0.999459513539606
"PID1",23.9832419791102,-7.66673011814056e-07,0.00144267831837941,0.817968539007677,0.999459513539606
"SPHKAP",7.67053077188669,6.01005904869391e-07,0.00144269108300443,0.720632356794052,0.999459513539606
"DAW1",10.5562709794758,2.51941450647414e-07,0.0014426887453212,0.906644654717059,0.999459513539606
"CCL20",1.34190910872017,-1.2213422755111e-07,0.00144269409114089,0.835302698345628,0.999459513539606
"LOC128627384",3.26833306226942,-5.26489304122267e-07,0.00144269403461515,0.569636948599853,0.999459513539606
"SLC19A3",234.962152494244,-8.07116324313686e-06,0.00144261378890953,0.322333642888948,0.999459513539606
"AGFG1",2462.00540493374,-2.29718909804692e-05,0.00144190112252532,0.36442243503801,0.999459513539606
"TM4SF20",16.2279118776409,-1.1025806176265e-06,0.00144268507359151,0.679782203270627,0.999459513539606
"MFF",1966.26918556975,-1.75106356623867e-05,0.00144216266287738,0.395839368930736,0.999459513539606
"LOC119044744",65.2154700951495,1.03690212199642e-06,0.00144266048780735,0.837488503304036,0.999459513539606
"COL4A3",43.7767409076831,4.04884250663982e-06,0.00144267470041859,0.317881832705268,0.999459513539606
"COL4A4",25.9710580638754,2.75823377445419e-06,0.0014426790357872,0.433518029248158,0.999459513539606
"RHBDD1",439.525183735018,5.85405157194735e-06,0.00144244310523297,0.662553315397836,0.999459513539606
"LOC119044738",211.000921524606,-1.20242805117807e-06,0.00144260821498415,0.878565388649089,0.999459513539606
"IRS1",11334.6898186321,-1.34985161364298e-05,0.00144211637595939,0.520907112216777,0.999459513539606
"LOC119044736",2.36629361550563,-2.42480123707577e-07,0.00144269373823557,0.795384758010278,0.999459513539606
"LOC119044754",0.233208385188907,-4.45973447535615e-08,0.0014426950306822,0.886054293600126,0.999459513539606
"NYAP2",180.022783463704,-2.4004831598192e-06,0.00144262101551627,0.742574256192872,0.999459513539606
"DOCK10",0.339239795058871,-3.3502186128461e-08,0.00144269501974138,0.986761467580766,0.999459513539606
"LOC128627588",30.1763337201257,6.51175594971354e-06,0.00144268458053112,0.0702602698362075,0.999459513539606
"CUL3",2598.56983100558,2.14510783968597e-06,0.00144173989783076,0.939827968384062,0.999459513539606
"SERPINE2",300.059452650463,-1.08338649764215e-05,0.00144257630562584,0.311831742861382,0.999459513539606
"MRPL44",259.295902775652,8.77432594374492e-06,0.00144261494704274,0.285614372836573,0.999459513539606
"WDFY1",1942.85320662565,2.85666973817423e-05,0.00144194200407914,0.260968099980884,0.999459513539606
"AP1S3",822.082315574098,2.58191515280847e-06,0.00144235926327929,0.868761412520702,0.999459513539606
"SCG2",0.596099382662621,-5.44176908890828e-07,0.00144269490424202,0.201795553825646,0.999459513539606
"LOC119061933",1146.71283826614,1.14593981838205e-06,0.0014426706643562,0.788094038323652,0.999459513539606
"KCNE4",0.0868655763035126,5.25510010010665e-09,0.00144269503693144,0.994611749280737,0.999459513539606
"ACSL3",1128.46056649345,-2.26180855022367e-06,0.00144208064092133,0.914396870969467,0.999459513539606
"MOGAT1",42.5770745395657,9.17371240964237e-07,0.00144267394402514,0.80475066692537,0.999459513539606
"FARSB",1784.20191867002,1.93319176090516e-05,0.00144213367076571,0.362814589854301,0.999459513539606
"SGPP2",2.73591257459058,3.24872446236977e-07,0.00144269320615289,0.778350444997664,0.999459513539606
"LOC128626908",0.697086960411415,-1.02069811949554e-07,0.00144269497808822,0.969193358734132,0.999459513539606
"EPHA4",7525.55582326858,1.37825843751539e-06,0.00144188174868638,0.960808237727701,0.999459513539606
"LOC128626614",0.161676851174357,-1.50699079903185e-08,0.00144269503847439,0.93577137210317,0.999459513539606
"LOC119047933",0.228120801642128,7.36239817762506e-08,0.00144269495198997,0.987681308452624,0.999459513539606
"SLC4A3",108.708991855508,-6.70100530478073e-06,0.00144264683532492,0.289700496552044,0.999459513539606
"STK11IP",221.848037565466,4.40757289490705e-06,0.00144260552695307,0.597977430203052,0.999459513539606
"INHA",0.106735542353944,2.08003712556328e-07,0.00144269499364457,0.946355218099705,0.999459513539606
"OBSL1",3.45326586579168,-1.1009686485203e-07,0.00144269322110534,0.932070819591856,0.999459513539606
"TMEM198",7.29874648140903,3.30908550598738e-07,0.00144269095365367,0.844568767777947,0.999459513539606
"CHPF",862.244563187858,9.62639048906372e-06,0.0014425912109479,0.301569073603715,0.999459513539606
"ASIC4",0.434934344433796,2.38427776599695e-07,0.00144269499157953,0.57569099171825,0.999459513539606
"GMPPA",321.59007131063,1.1842395318623e-05,0.00144258943227208,0.222388015253274,0.999459513539606
"SPEGNB",0.826847075579252,-7.04596922709814e-07,0.00144269482004445,0.188640849911891,0.999459513539606
"SPEG",698.292639244203,-3.28957623287472e-06,0.00144253317535742,0.7521326228898,0.999459513539606
"DES",1.54187056342811,5.96802775161394e-07,0.00144269456158684,0.300057293191879,0.999459513539606
"DNPEP",172.889414232281,3.88130801586557e-07,0.00144261673155612,0.967288334446722,0.999459513539606
"PTPRN",322.524758546667,3.00738912938483e-06,0.00144254576314206,0.767741795183289,0.999459513539606
"DNAJB2",599.516075891928,1.82974425107051e-05,0.00144258036019458,0.101400695081341,0.999459513539606
"LOC119056902",3.63287062029218,-1.07350872556515e-06,0.00144269305838803,0.395782428305476,0.999459513539606
"LOC119056884",798.431312436776,2.48558304658859e-05,0.00144262368545869,0.0287599558521754,0.999459513539606
"STK16",450.603046176803,-1.1626297875408e-06,0.00144255827178461,0.890564265800346,0.999459513539606
"GLB1L",360.141539527045,-8.74074697439847e-06,0.00144255559760971,0.404652516481201,0.999459513539606
"ANKZF1",553.102538798624,1.14894628418681e-05,0.00144246812990808,0.387313722972775,0.999459513539606
