"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC128626932",0.211241345053146,0.000404407825103559,0.0558543076347751,0.951613418519506,NA
"LOC119041959",10.5013499976702,-0.00135775923844608,0.0557327552937801,0.760045500733616,NA
"LOC119041957",13.3689812793219,0.0043730765449954,0.056056182915699,0.0589969117535034,NA
"LOC119041976",21.9012807202576,0.00167574448081394,0.0556188422846554,0.752689417524761,NA
"LOC119041968",74.923640476577,0.0208054592778876,0.0597805584235468,0.127961119988216,0.389143448991568
"SP140",35.6408951650419,-0.0261420461191346,0.0639575885225811,0.0267216373998885,NA
"SP110",444.507369499856,0.03906854102007,0.059659119438205,0.181098964287708,0.457455741301623
"LOC119041977",0.563868472699563,-0.000660381084034228,0.0558485247609701,0.478975664298024,NA
"SLC16A14",15.8544360584436,-0.0047645439701471,0.0556329747832646,0.463139179978167,NA
"FBXO36",133.133671869654,-0.00472885413600658,0.0524921270796165,0.826229075066154,0.926014800676191
"TRIP12",11195.4501234621,0.0808677903228297,0.0450495718781184,0.0178262006131874,0.148363797603432
"DNER",197.425475813698,-0.0164367577552978,0.0542254429439261,0.430938631124498,0.69188572563095
"PID1",23.9832419791102,-0.0133965477125386,0.0573823124138894,0.163540948698452,NA
"SPHKAP",7.67053077188669,-0.00423767532595115,0.0558745004578893,0.408457067728347,NA
"DAW1",10.5562709794758,-0.00849536027334593,0.0564418853886035,0.185907305199385,NA
"CCL20",1.34190910872017,-0.00119934116676751,0.0558257344003493,0.575439504965309,NA
"LOC128627384",3.26833306226942,0.00569596302494514,0.056223941619396,0.0669092448196872,NA
"SLC19A3",234.962152494244,-0.0155650611783877,0.0536450777693323,0.455554148658917,0.71048915548453
"AGFG1",2462.00540493374,0.0183412859790162,0.0341019514432558,0.500356867016673,0.740535217358634
"TM4SF20",16.2279118776409,0.00868585780157533,0.0562942981259581,0.270625149902398,NA
"MFF",1966.26918556975,-0.00261496657101284,0.0374640427431161,0.92465935639084,0.968035949214567
"LOC119044744",65.2154700951495,-0.0123425864262095,0.0557535806165418,0.666570421080485,0.841408564314711
"COL4A3",43.7767409076831,0.0170073769585115,0.0582070735670433,0.219489579374939,NA
"COL4A4",25.9710580638754,-0.0105784257304967,0.0562933964465394,0.263413779997715,NA
"RHBDD1",439.525183735018,0.00568274600627855,0.0454819490003674,0.831293423108276,0.927126835763383
"LOC119044738",211.000921524606,0.0933155131845213,0.17029839214507,0.0182657832568138,0.150397691197704
"IRS1",11334.6898186321,0.0204744998791549,0.0386471340529933,0.473260091685117,0.721264437563463
"LOC119044736",2.36629361550563,-0.00180864858366151,0.0558119479455023,0.54034083956671,NA
"LOC119044754",0.233208385188907,-7.92477313546618e-05,0.0558544115601824,0.974301505596169,NA
"NYAP2",180.022783463704,0.0131691520530858,0.0541069860371609,0.488956658913074,0.732852280486903
"DOCK10",0.339239795058871,0.000437904294548363,0.0558508516710965,0.903556298195627,NA
"LOC128627588",30.1763337201257,0.00159818638179691,0.0549341277010903,0.781689708878351,NA
"CUL3",2598.56983100558,0.0693253841863722,0.0391600329570496,0.0252077427879863,0.175154352742307
"SERPINE2",300.059452650463,0.0218223740509657,0.0534778221676052,0.355367977613734,0.632952028105406
"MRPL44",259.295902775652,-0.0105060567072457,0.0523919665871934,0.599968874875644,0.801921985939899
"WDFY1",1942.85320662565,0.030880648296467,0.0354100325947708,0.269618876559687,0.556078256981218
"AP1S3",822.082315574098,0.0660799060698182,0.0633675916101271,0.0690757529530108,0.286671234082145
"SCG2",0.596099382662621,-0.0012831787571403,0.0558614579932757,0.265217897248342,NA
"LOC119061933",1146.71283826614,0.000197554339210354,0.05447998199518,0.989670717800846,0.994098427478451
"KCNE4",0.0868655763035126,0.000434697409139967,0.0558547393150615,0.955420585383662,NA
"ACSL3",1128.46056649345,0.0672258913301311,0.047793416952072,0.0481855467935378,0.2429453025194
