Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
SCN5A,7228.418897,0.042719493,0.071964495,0.53932464,0.728307283
ADGRB1,1.625810323,0.04267948,0.281296033,0.465938586,0.670763857
GPS1,474.2554841,0.042679293,0.096560733,0.638289208,0.798854317
EPHX2,344.1529418,0.042678288,0.08396366,0.594863102,0.770012638
CDC14B,1723.422146,0.042644789,0.069014705,0.524157495,0.717880325
CUNH17orf80,582.6411109,0.042628321,0.070473984,0.532837109,0.723237659
DOCK11,40.62309449,0.042624889,0.206397877,0.788487247,0.893936518
LMTK2,1556.043818,0.042587488,0.069930673,0.530631105,0.721897746
LOC119064641,250.8987123,0.042561886,0.09900863,0.646899264,0.804922089
LOC119034643,0.936061438,0.042529174,0.284055804,0.383192829,NA
TNKS,1751.996044,0.042512518,0.064210972,0.497046932,0.697224187
LOC119062293,1.707917922,0.042487722,0.278837923,0.570754262,0.753636138
ZNF275,390.1508046,0.042373945,0.098426685,0.645837169,0.804346926
PRCC,1031.651293,0.04237101,0.056211231,0.442218362,0.650727534
LOC119049098,457.4646528,0.042321991,0.145136141,0.734193465,0.860891502
FASTKD1,765.4842189,0.042316977,0.068066938,0.522072692,0.716048186
MCM2,3938.721258,0.042251816,0.034652324,0.213132267,0.41674993
PEX26,1272.099066,0.042185302,0.063294493,0.493980049,0.694710075
CEP44,437.1914197,0.042126321,0.098378936,0.65451411,0.809830125
NRIP3,561.9666401,0.042119074,0.071275475,0.541110483,0.729904034
GSG1,0.830117288,0.042099188,0.284224762,0.486319002,NA
CCNL2,2254.625018,0.042094334,0.042768845,0.319539342,0.538258455
MAN2B2,33.17865483,0.042090873,0.203134092,0.766592708,0.881861638
KCTD6,192.6445243,0.042083839,0.105984649,0.669779097,0.821110572
PCNT,887.9212971,0.042066937,0.071749062,0.544868121,0.732756782
GTF2A2,1580.483762,0.042064764,0.055555746,0.440283059,0.648687326
LOC119042048,1.045410951,0.042055209,0.28206399,0.463994575,NA
LOC128628610,198.7901901,0.042033085,0.111879323,0.710303002,0.846454198
SHTN1,3341.045457,0.04201985,0.058549884,0.464244837,0.66945318
